0:0:3 | [CMD] Jodor(16) => /vtamir
1:14:54 | [CMD] huso608(10) => /asay Arac Res Geliyor!!! 
1:14:57 | [CMD] huso608(10) => /respawncars
1:14:58 | [CMD] huso608(10) => /cantazele
1:15:11 | [CMD] ahmet55(9) => /meslek
1:15:40 | [CMD] huso608(10) => /work
1:15:50 | [CMD] VIPTRUCKS(8) => /r abi kaca kadar burdasýn
1:16:14 | [CMD] huso608(10) => /r sabaha kadar 7 ye kadar
1:16:20 | [CMD] VIPTRUCKS(8) => /r oha :D
1:16:34 | [CMD] VIPTRUCKS(8) => /r sýkýcý olmuyormu 
1:16:37 | [CMD] huso608(10) => /r gece adminiyim
1:17:5 | [CMD] huso608(10) => /r yoo hem iþimi yapiyorum hem de sw idare ediyom
1:17:24 | [CMD] huso608(10) => /work
1:17:34 | [CMD] VIPTRUCKS(8) => /r nerde çalýþýyosun abi
1:18:8 | [CMD] huso608(10) => /r su an guvenlik ve koruma sektorundeyim
1:18:14 | [CMD] ahmet55(9) => /meslek
1:18:21 | 
1:18:26 | [CMD] huso608(10) => /r geceleri calýsýyorum
1:18:28 | [CMD] VIPTRUCKS(8) => /r allah kolaylýk versin abi
1:18:37 | [CMD] ahmet55(9) => /work
1:18:40 | [CMD] huso608(10) => /r sagol sanada
1:18:57 | [CMD] VIPTRUCKS(8) => /r hatýrlamýssýndýr beni 5 buzlu lýnk yýyýp hasta oldum :D
1:19:8 | [CMD] huso608(10) => /r evet
1:19:15 | [CMD] huso608(10) => /work
1:19:31 | VIPTRUCKS(8): atla gezelim abi
1:19:50 | [CMD] VIPTRUCKS(8) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz.
1:19:51 | [CMD] VIPTRUCKS(8) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum
1:19:52 | [CMD] VIPTRUCKS(8) => /asay Ýstek þarkýlarýnýz için /isteksarki <id> komutunu kullanabilirsiniz.
1:20:17 | [CMD] huso608(10) => /r gorev yapýyorum
1:20:21 | [CMD] VIPTRUCKS(8) => /r ok
1:21:1 | [CMD] huso608(10) => /work
1:21:2 | [CMD] VIPTRUCKS(8) => /tamir
1:22:25 | [CMD] huso608(10) => /etkbilgi
1:22:30 | [CMD] huso608(10) => /etk
1:22:51 | VIPTRUCKS(8) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:22:59 | [CMD] huso608(10) => /work
1:23:7 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:23:14 | [CMD] huso608(10) => /etksay
1:23:20 | VIPTRUCKS(6) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:23:20 | [CMD] huso608(10) => /etk say
1:23:36 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:23:37 | [CMD] huso608(10) => /etkeject
1:23:48 | 
1:23:55 | 
1:24:2 | [CMD] VIPTRUCKS(6) => /goto 9
1:24:15 | VIPTRUCKS(6): lag
1:24:45 | [CMD] huso608(10) => /work
1:24:59 | VIPTRUCKS(6): noldu
1:25:3 | [CMD] huso608(10) => /musait
1:25:21 | [CMD] VIPTRUCKS(6) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz.
1:25:31 | [CMD] VIPTRUCKS(6) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler.
1:25:33 | [CMD] VIPTRUCKS(6) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
1:25:52 | [CMD] ahmet55(9) => /pcc
1:26:0 | [CMD] huso608(10) => /pcc
1:26:28 | [CMD] huso608(10) => /work
1:26:55 | [CMD] ahmet55(9) => /work
1:27:33 | [LOCAL]VIPTRUCKS(6): az önce int kopmuþtu görev gitti kb
1:27:33 | [CMD] VIPTRUCKS(6) => /l az önce int kopmuþtu görev gitti kb
1:27:41 | [LOCAL]ahmet55(9): olsun daha olurmu
1:27:41 | [CMD] ahmet55(9) => /l olsun daha olurmu
1:28:2 | [LOCAL]VIPTRUCKS(6): neti kaçak çekiyorum ara ara kopuyor
1:28:2 | [CMD] VIPTRUCKS(6) => /l neti kaçak çekiyorum ara ara kopuyor
1:28:14 | [CMD] huso608(10) => /work
1:28:27 | sezzer(7) oyuna girdi [IP: 88.238.181.127]
1:28:37 | VIPTRUCKS(6): atla
1:28:39 | 
1:28:45 | sezzer(7) Itfaiyeci olarak spawn oldu.
1:28:51 | [CMD] sezzer(7) => /sa
1:28:53 | [CMD] VIPTRUCKS(6) => /as
1:28:54 | [CMD] ahmet55(9) => /as
1:28:55 | [CMD] huso608(10) => /as
1:29:7 | VIPTRUCKS(6): sezer reis git yat uyu iþin ne
1:29:8 | VIPTRUCKS(6): :D
1:29:18 | sezzer(7): bu saatte mi la
1:29:23 | [CMD] sezzer(7) => /araba
1:29:29 | VIPTRUCKS(6): iþ güç yokmu .d
1:29:52 | sezzer(7): iþ güç varkende 3 den önce yatmýyodum ki :D
1:29:57 | VIPTRUCKS(6): :D
1:29:58 | [CMD] huso608(10) => /work
1:29:59 | sezzer(7): uykum gelmiyo
1:31:7 | [CMD] VIPTRUCKS(6) => /tamir
1:31:7 | VIPTRUCKS(6): :D
1:31:12 | [CMD] ahmet55(9) => /kemer
1:31:13 | ahmet55(9): :D
1:31:15 | [CMD] VIPTRUCKS(6) => /r can res abi
1:31:18 | [CMD] huso608(10) => /cantazele
1:31:22 | [CMD] VIPTRUCKS(6) => /r tþk
1:31:41 | [CMD] huso608(10) => /work
1:32:19 | [CMD] VIPTRUCKS(6) => /work
1:33:25 | [CMD] huso608(10) => /work
1:34:14 | [CMD] ahmet55(9) => /uzan
1:34:16 | [CMD] ahmet55(9) => /uzan
1:34:21 | ronaldo561(8) oyuna girdi [IP: 190.203.43.240]
1:34:28 | [CMD] ahmet55(9) => /sigara1
1:34:28 | VIPTRUCKS(6): ayaða kalk hocam
1:34:32 | [CMD] ahmet55(9) => /sigara1
1:34:38 | 
1:34:38 | [LOCAL]ahmet55(9): tm
1:34:38 | [CMD] ahmet55(9) => /l tm
1:34:42 | [CMD] ahmet55(9) => /sigara2
1:34:47 | {FFCC00}ronaldo561(8) {FFFFFF}Kamyoncu olarak spawn oldu.
1:34:53 | [LOCAL]ahmet55(9): devam et :D
1:34:53 | [CMD] ahmet55(9) => /l devam et :D
1:34:56 | VIPTRUCKS(6): :D
1:35:9 | VIPTRUCKS(6): hola
1:35:11 | [CMD] ronaldo561(8) => /modifiye
1:35:25 | ronaldo561(8): hola
1:35:29 | [LOCAL]ahmet55(9): cugara mýda  yakarým 
1:35:29 | [CMD] ahmet55(9) => /l cugara mýda  yakarým 
1:35:34 | ahmet55(9): hola
1:35:42 | [CMD] huso608(10) => /odunsat
1:35:47 | [CMD] VIPTRUCKS(6) => /asay Change for job --> /meslek
1:36:6 | [CMD] sezzer(7) => /gobus
1:36:12 | [CMD] huso608(10) => /work
1:36:14 | ronaldo561(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:36:25 | [CMD] sezzer(7) => /araba
1:36:38 | [CMD] ahmet55(9) => /dans4
1:36:48 | VIPTRUCKS(6): al kýrdýn kýrdý nal
1:36:49 | ronaldo561(8) oyuna girdi [IP: 190.203.43.240]
1:37:6 | 
1:37:13 | {FFCC00}ronaldo561(8) {FFFFFF}Kamyoncu olarak spawn oldu.
1:37:30 | VIPTRUCKS(6): hola
1:37:34 | ahmet55(9): hola
1:37:46 | [CMD] ronaldo561(8) => /work
1:37:56 | VIPTRUCKS(6): araç deðiþek gel
1:37:57 | [CMD] huso608(10) => /work
1:38:5 | ahmet55(9): cimri 
1:38:12 | VIPTRUCKS(6): bu daha iyi :D
1:38:17 | VIPTRUCKS(6): yukarda ledleri falan var
1:38:20 | [CMD] VIPTRUCKS(6) => /work
1:38:30 | VIPTRUCKS(6): ronaldo 
1:38:30 | ahmet55(9): tamir etmemek icin arac degýsýyo :D
1:38:35 | VIPTRUCKS(6): :D
1:38:40 | VIPTRUCKS(6): para yok
1:38:45 | [CMD] ronaldo561(8) => /goraviptal
1:38:57 | [CMD] sezzer(7) => /tamir
1:39:9 | [CMD] VIPTRUCKS(6) => /asay Change for job --> /meslek
1:39:10 | [CMD] VIPTRUCKS(6) => /asay Change for job --> /meslek
1:39:35 | [CMD] ronaldo561(8) => /work
1:39:49 | [CMD] huso608(10) => /work
1:39:59 | [CMD] sezzer(7) => /rescue
1:40:27 | [CMD] ahmet55(9) => /sigara2
1:40:32 | [CMD] ahmet55(9) => /sigara2
1:40:40 | VIPTRUCKS(6): kal öle
1:41:0 | ahmet55(9): :D
1:41:4 | VIPTRUCKS(6): :d
1:41:25 | VIPTRUCKS(6): atla üste
1:41:34 | [CMD] huso608(10) => /work
1:42:8 | VIPTRUCKS(6): gell
1:42:30 | ahmet55(9): kosarak gorev yapcam :d
1:42:35 | VIPTRUCKS(6): ölcen
1:42:37 | VIPTRUCKS(6): can res
1:42:43 | [CMD] huso608(10) => /cantazele
1:42:58 | VIPTRUCKS(6): kargo daðýtýmada koþarak gelirsin ozaman :D
1:42:58 | [CMD] ahmet55(9) => /araba
1:43:16 | [CMD] sezzer(7) => /otur
1:43:17 | [CMD] sezzer(7) => /otur
1:43:23 | [CMD] huso608(10) => /work
1:43:37 | [CMD] sezzer(7) => /animkapat
1:43:43 | [CMD] sezzer(7) => /sarap
1:43:53 | [CMD] ahmet55(9) => /cevir
1:43:58 | [CMD] ahmet55(9) => /tamir
1:44:7 | [CMD] VIPTRUCKS(6) => /tamir
1:44:10 | [CMD] ahmet55(9) => /araba
1:44:21 | ahmet55(9): arac bug oldu :D
1:44:24 | VIPTRUCKS(6): sona kalan nar ekþisiz a101 çiðköftesi :D
1:44:33 | VIPTRUCKS(6): gel
1:44:45 | sezzer(7): çiðköftenin nesini seviyonuz la
1:44:51 | [CMD] sezzer(7) => /araba
1:44:53 | [CMD] huso608(10) => /slap 9
1:44:55 | VIPTRUCKS(6): çiðköfte qalp
1:44:59 | ahmet55(9): uctum :D
1:45:8 | [CMD] huso608(10) => /work
1:45:18 | VIPTRUCKS(6): hay
1:45:25 | [CMD] ahmet55(9) => /kemer
1:46:4 | VIPTRUCKS(6) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:46:17 | [CMD] ahmet55(9) => /work
1:46:20 | sezzer(7): ben gidemde 31 çekem bari sv de hayat kalamýþ
1:46:31 | [CMD] sezzer(7) => /adminol
1:46:32 | sezzer(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:46:40 | [CMD] huso608(10) => /cc
1:46:48 | [CMD] huso608(10) => /dtemizle
1:46:54 | [CMD] huso608(10) => /work
1:48:4 | [CMD] huso608(10) => /etkduzen
1:48:9 | [CMD] huso608(10) => /etk
1:48:15 | [CMD] huso608(10) => /etk...
1:48:41 | [CMD] huso608(10) => /etkbaslat
1:48:50 | [CMD] huso608(10) => /work
1:50:35 | [CMD] huso608(10) => /work
1:50:50 | DarkFlow(6) oyuna girdi [IP: 85.97.215.63]
1:51:8 | 
1:51:11 | {FFCC00}DarkFlow(6) {FFFFFF}Kamyoncu olarak spawn oldu.
1:51:15 | [CMD] DarkFlow(6) => /saat 0
1:51:18 | [CMD] DarkFlow(6) => /karakol
1:51:23 | [CMD] DarkFlow(6) => /cezaode
1:51:26 | [CMD] DarkFlow(6) => /sa
1:51:27 | [CMD] huso608(10) => /as
1:51:31 | ahmet55(9): as
1:51:33 | [CMD] ahmet55(9) => /as
1:51:37 | [CMD] DarkFlow(6) => /rescue
1:51:46 | [CMD] DarkFlow(6) => /kemer
1:51:48 | [CMD] ahmet55(9) => /pm 6 benler kargocu olurmusun
1:51:51 | [CMD] ahmet55(9) => /tamir
1:51:56 | [CMD] DarkFlow(6) => /pm 9 yok saðol 
1:52:6 | [CMD] DarkFlow(6) => /sirketdorse
1:52:11 | [CMD] DarkFlow(6) => /sirketdorse
1:52:16 | [CMD] ahmet55(9) => /pm 6 tm
1:52:21 | [CMD] huso608(10) => /work
1:52:40 | [CMD] DarkFlow(6) => /pm 9 1 görev yapýp çýkýcam 
1:53:25 | [CMD] ahmet55(9) => /work
1:53:56 | [CMD] DarkFlow(6) => /rescue
1:54:8 | [CMD] DarkFlow(6) => /srespawncars
1:54:27 | [CMD] DarkFlow(6) => /kemer
1:54:55 | [CMD] huso608(10) => /work
1:55:10 | [CMD] ahmet55(9) => /tamir
1:55:26 | [CMD] DarkFlow(6) => /tamir
1:56:7 | [CMD] DarkFlow(6) => /work
1:56:24 | [CMD] DarkFlow(6) => /asiriyuk
1:56:26 | [CMD] DarkFlow(6) => /asiriyuk
1:57:53 | [CMD] DarkFlow(6) => /tamir
1:58:31 | [CMD] ahmet55(9) => /work
1:58:48 | [CMD] ahmet55(9) => /gorevipatla
1:58:56 | [CMD] ahmet55(9) => /goreviptal
1:59:10 | [CMD] ahmet55(9) => /work
1:59:45 | [KAMYONCU] ronaldo561, Antalya Mazi Dagi Fabrikasi'den Tugayogullari Insaat'e Insaat Malzemesi tasidi. Kazanc: 58285$, 1 Skor ve 5 EXP Sure: 561 Saniye
1:59:55 | [CMD] ronaldo561(8) => /work
2:2:49 | ronaldo561(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:4:34 | ahmet55(9): can res
2:4:51 | [CMD] ahmet55(9) => /work
2:4:57 | DarkFlow(6): afk huso 
2:5:28 | [CMD] DarkFlow(6) => /saat 7
2:5:35 | [CMD] DarkFlow(6) => /saat 0
2:5:38 | ahmet55(9): tm
2:5:44 | [CMD] DarkFlow(6) => /tamir
2:5:56 | [CMD] ahmet55(9) => /kemer
2:6:54 | [KAMYONCU] DarkFlow, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 495 Saniye
2:6:58 | XhackerS(7) oyuna girdi [IP: 89.147.227.105]
2:7:16 | [CMD] DarkFlow(6) => /karakol
2:7:20 | [CMD] DarkFlow(6) => /cezaode
2:7:21 | 
2:7:24 | [CMD] DarkFlow(6) => /sirket
2:7:45 | [CMD] DarkFlow(6) => /srespawncars
2:7:49 | [CMD] DarkFlow(6) => /adminol
2:7:54 | DarkFlow(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:7:59 | XhackerS(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:8:34 | XhackerS(6) oyuna girdi [IP: 89.147.227.105]
2:9:4 | [CMD] XhackerS(6) => /kurallar
2:9:29 | [CMD] XhackerS(6) => /kurallar
2:9:38 | [CMD] ahmet55(9) => /pcc
2:9:39 | [CMD] XhackerS(6) => /kurallar
2:9:47 | [CMD] XhackerS(6) => /yardim
2:10:12 | XhackerS(6) oyundan cIktI (Hata/Crash) (IP: 89.147.227.105)
2:10:46 | XhackerS(6) oyuna girdi [IP: 89.147.227.105]
2:11:10 | 
2:11:24 | {FFCC00}XhackerS(6) Otobus Soforu olarak spawn oldu.
2:11:45 | XhackerS(6): Sa
2:11:49 | [CMD] ahmet55(9) => /as
2:12:17 | [CMD] ahmet55(9) => /work
2:12:43 | XhackerS(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:13:9 | [CMD] ahmet55(9) => /kemer
2:14:24 | XhackerS(6) oyuna girdi [IP: 89.147.227.105]
2:14:43 | 
2:14:46 | {FFCC00}XhackerS(6) Otobus Soforu olarak spawn oldu.
2:14:52 | XhackerS(6): Sa
2:16:15 | [CMD] XhackerS(6) => /work
2:17:19 | [CMD] ahmet55(9) => /tamir
2:18:39 | [CMD] ahmet55(9) => /rescue
2:18:55 | ahmet55(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:19:36 | XhackerS(6): Sa beyler
2:30:50 | [OTOBUSCU] XhackerS, Duzce Otogar'den Longway Otogar'e Yolcu tasidi. Kazanc: 29795$ ve 3 Skor Sure: 684 Saniye
2:31:5 | [CMD] XhackerS(6) => /tamir
2:31:42 | [CMD] XhackerS(6) => /work
2:36:12 | [CMD] XhackerS(6) => /goreviptal
2:36:20 | XhackerS(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
3:20:43 | sezzer(6) oyuna girdi [IP: 88.238.181.127]
3:20:53 | 
3:20:54 | {FFCC00}sezzer(6) {FFFFFF}Kamyoncu olarak spawn oldu.
3:21:6 | [CMD] sezzer(6) => /rescue
3:21:35 | [CMD] sezzer(6) => /work
3:23:4 | [CMD] sezzer(6) => /asiriyuk
3:23:21 | [CMD] huso608(10) => /work
3:25:18 | [CMD] huso608(10) => /work
3:27:6 | [CMD] huso608(10) => /work
3:27:38 | [CMD] huso608(10) => /work
3:28:3 | [CMD] sezzer(6) => /hava 14
3:29:35 | [CMD] huso608(10) => /work
3:31:24 | [CMD] huso608(10) => /work
3:31:38 | [KAMYONCU] sezzer, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 401 Saniye
3:33:8 | [CMD] sezzer(6) => /work
3:34:28 | [CMD] huso608(10) => /work
3:35:13 | [CMD] sezzer(6) => /asiriyuk
3:45:36 | [KAMYONCU] sezzer, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 494 Saniye
3:45:42 | [CMD] sezzer(6) => /sirket
3:46:30 | [CMD] sezzer(6) => /karakol
3:46:34 | [CMD] sezzer(6) => /cezaode
3:46:41 | [CMD] sezzer(6) => /gobus
3:47:7 | [CMD] sezzer(6) => /gobus
3:47:14 | [CMD] sezzer(6) => /icerigir
3:47:18 | [CMD] sezzer(6) => /isyerimenu
3:47:19 | [CMD] sezzer(6) => /isyerimenu
3:47:26 | [CMD] sezzer(6) => /icerigir
3:47:27 | [CMD] sezzer(6) => /isyerimenu
3:47:29 | [CMD] sezzer(6) => /isyerimenu
3:47:37 | [CMD] sezzer(6) => /icerigir
3:47:38 | [CMD] sezzer(6) => /isyerimenu
3:47:39 | [CMD] sezzer(6) => /isyerimenu
3:47:48 | [CMD] sezzer(6) => /icerigir
3:47:49 | [CMD] sezzer(6) => /icerigir
3:47:51 | [CMD] sezzer(6) => /isyerimenu
3:47:55 | [CMD] sezzer(6) => /isyerimenu
3:48:3 | [CMD] sezzer(6) => /isyerimenu
3:48:54 | sezzer(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
4:52:31 | [CMD] huso608(10) => /WOTK
4:52:38 | [CMD] huso608(10) => /WORK
4:54:24 | [CMD] huso608(10) => /WORK
4:56:6 | [CMD] huso608(10) => /WORK
5:43:46 | [CMD] huso608(10) => /work
5:43:59 | [CMD] huso608(10) => /rescue
5:44:17 | [CMD] huso608(10) => /odunsat
5:44:37 | [CMD] huso608(10) => /work
6:3:4 | [CMD] huso608(10) => /work
6:3:13 | [CMD] huso608(10) => /dtemizle
6:3:15 | [CMD] huso608(10) => /cc
6:8:50 | [CMD] huso608(10) => /work
6:11:9 | [CMD] huso608(10) => /work
6:14:16 | [CMD] huso608(10) => /work
6:15:57 | [CMD] huso608(10) => /work
6:17:37 | [CMD] huso608(10) => /work
6:19:18 | [CMD] huso608(10) => /work
6:21:2 | [CMD] huso608(10) => /work
6:22:45 | [CMD] huso608(10) => /work
6:24:27 | [CMD] huso608(10) => /work
6:26:6 | [CMD] huso608(10) => /work
6:27:49 | [CMD] huso608(10) => /work
6:29:9 | CcCAtakan1907(6) oyuna girdi [IP: 78.190.162.193]
6:29:27 | 
6:29:31 | {FFCC00}CcCAtakan1907(6) {FFFFFF}Kamyoncu olarak spawn oldu.
6:29:41 | [CMD] huso608(10) => /work
6:29:50 | [CMD] CcCAtakan1907(6) => /sa
6:29:54 | [CMD] huso608(10) => /as
6:30:4 | CcCAtakan1907(6): kolay gelsin baþgan
6:30:11 | huso608(10): sagol
6:30:16 | [CMD] huso608(10) => /yonetim
6:30:37 | CcCAtakan1907(6): ben denemlik girmiþtim a.e.o bb
6:30:45 | [CMD] CcCAtakan1907(6) => /rescue
6:31:17 | huso608(10): ne denemesi
6:31:21 | [CMD] huso608(10) => /work
6:31:30 | CcCAtakan1907(6): gtayý denedim
6:31:34 | CcCAtakan1907(6): bozuktu ya
6:31:55 | [CMD] huso608(10) => /yonetim
6:32:33 | [CMD] CcCAtakan1907(6) => /adminol
6:32:48 | CcCAtakan1907(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
6:33:19 | [CMD] huso608(10) => /work
6:34:27 | [CMD] huso608(10) => /vipler
6:34:46 | FurkanYVS(6) oyuna girdi [IP: 95.10.4.172]
6:35:0 | [CMD] huso608(10) => /work
6:35:1 | 
6:35:1 | FurkanYVS(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
6:36:10 | (6) 60 saniye içinde giriþ yapmadýðý için tekmelendi
6:36:14 | RamazanTR(6) oyuna girdi [IP: 95.10.4.172]
6:36:16 | RamazanTR(6) 60 saniye içinde giriþ yapmadýðý için tekmelendi
6:36:16 | RamazanTR(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
6:37:28 | [CMD] huso608(10) => /work
6:37:59 | [CMD] huso608(10) => /bangor FurkanYVS
6:38:10 | [CMD] huso608(10) => /bangor RamazanTR
6:39:11 | [CMD] huso608(10) => /work
6:40:27 | (BANKA) huso608(10) 1148 nolu banka hesabina 22000000$ yatirdi.
6:40:52 | [CMD] huso608(10) => /work
6:41:15 | Asi_Kaptan(6) oyuna girdi [IP: 88.233.46.20]
6:41:25 | 
6:41:32 | 
6:41:33 | [CMD] Asi_Kaptan(6) => /sa
6:41:37 | [CMD] huso608(10) => /as
6:41:46 | Asi_Kaptan(6): Napýyorsun Huso Baqkan
6:41:49 | huso608(10): Gunaydin
6:42:6 | Asi_Kaptan(6): Sanada Günaydýn Cýkmadan Gel Kargocu Atatlým
6:42:9 | huso608(10): Devam Seni Sormalý Sen Nasýlsýn
6:42:19 | huso608(10): Birazdan Cýkacam
6:42:37 | huso608(10): Biliyorsun Toparlanma Hazýrlýgý
6:42:38 | Asi_Kaptan(6): Cýkana Kadar Yapalým Dedim Zaten ;)
6:42:50 | Asi_Kaptan(6): Dogrudur Huso Baqkan 
6:42:59 | [CMD] huso608(10) => /odunsat
6:43:5 | [CMD] huso608(10) => /gobus
6:43:15 | [CMD] huso608(10) => /icerigir
6:43:17 | Asi_Kaptan(6): Aksam Yaparýz Birþeyler 
6:43:20 | [CMD] huso608(10) => /isyerimenu
6:43:31 | huso608(10): Hayýrlýsý ile Olur
6:43:36 | [CMD] huso608(10) => /isyerimenu
6:43:41 | [CMD] huso608(10) => /gobus
6:43:49 | [CMD] huso608(10) => /icerigir
6:43:55 | [CMD] huso608(10) => /isyerimenu
6:44:4 | [CMD] huso608(10) => /isyerimenu
6:44:14 | [CMD] huso608(10) => /gobus
6:44:26 | [CMD] huso608(10) => /icerigir
6:44:31 | [CMD] huso608(10) => /isyerimenu
6:44:38 | Asi_Kaptan(6): Aksam Ola Hayrola ;)
6:44:46 | [CMD] huso608(10) => /isyerimenu
6:46:0 | [CMD] huso608(10) => /gobus
6:46:25 | [CMD] huso608(10) => /pmkapat
6:47:4 | [CMD] huso608(10) => /gobus
6:48:0 | [CMD] huso608(10) => /gobus
6:48:15 | [CMD] huso608(10) => /gobus
6:50:2 | [CMD] huso608(10) => /spec 6
6:50:9 | [CMD] huso608(10) => /specoff
6:50:9 | huso608(10) Oduncu olarak spawn oldu.
6:50:16 | [CMD] huso608(10) => /asay2 . 
6:50:19 | [CMD] huso608(10) => /asay2 . 
6:50:21 | [CMD] huso608(10) => /asay2 . 
6:50:23 | [CMD] huso608(10) => /asay2 . 
6:50:24 | [CMD] huso608(10) => /asay2 . 
6:50:26 | [CMD] huso608(10) => /asay2 . 
6:50:28 | [CMD] huso608(10) => /asay2 . 
6:50:34 | [CMD] huso608(10) => /cc
6:50:40 | [CMD] huso608(10) => /adminol
6:50:47 | huso608(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
6:51:34 | [CMD] Asi_Kaptan(6) => /meslek
6:51:37 | {FFCC00}Asi_Kaptan(6) {FFFFFF}Kamyoncu olarak spawn oldu.
6:52:3 | [CMD] Asi_Kaptan(6) => /sirketdorse
6:52:7 | [CMD] Asi_Kaptan(6) => /sirketdorse
6:52:24 | [CMD] Asi_Kaptan(6) => /sirket
6:53:14 | [CMD] Asi_Kaptan(6) => /saat 19
6:53:16 | [CMD] Asi_Kaptan(6) => /saat 20
6:53:20 | [CMD] Asi_Kaptan(6) => /saat 21
6:53:22 | [CMD] Asi_Kaptan(6) => /saat 22
6:53:24 | [CMD] Asi_Kaptan(6) => /saat 23
6:53:28 | [CMD] Asi_Kaptan(6) => /hava 5
6:54:12 | [CMD] Asi_Kaptan(6) => /modifiye
6:56:22 | [CMD] Asi_Kaptan(6) => /kemer
6:56:36 | [CMD] Asi_Kaptan(6) => /work
6:56:57 | [CMD] Asi_Kaptan(6) => /asiriyuk
7:6:11 | [KAMYONCU] Asi_Kaptan, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 438 Saniye
7:6:22 | [CMD] Asi_Kaptan(6) => /work
7:6:45 | [CMD] Asi_Kaptan(6) => /asiriyuk
7:16:10 | [KAMYONCU] Asi_Kaptan, Longway Warehouse'den Diver Island Farm'e Degerli Esyalar tasidi. Kazanc: 186371$, 1 Skor ve 5 EXP Sure: 447 Saniye
7:16:16 | [CMD] Asi_Kaptan(6) => /work
7:16:31 | [CMD] Asi_Kaptan(6) => /asiriyuk
7:19:2 | [CMD] Asi_Kaptan(6) => /cezaode
7:19:6 | [CMD] Asi_Kaptan(6) => /gobus
7:19:56 | ronaldo561(7) oyuna girdi [IP: 190.203.43.240]
7:20:8 | 
7:20:12 | {FFCC00}ronaldo561(7) {FFFFFF}Kamyoncu olarak spawn oldu.
7:20:18 | ronaldo561(7): hola
7:20:27 | ronaldo561(7): hola
7:20:31 | Asi_Kaptan(6): sanada hola
7:20:41 | ronaldo561(7): 2 amigos
7:20:51 | Asi_Kaptan(6): turkýsh
7:21:0 | Asi_Kaptan(6): amigos
7:21:6 | ronaldo561(7): convoy amigos
7:21:26 | Asi_Kaptan(6):  /rescue hingway amigos
7:21:37 | ronaldo561(7): rescue donde esta
7:22:48 | Asi_Kaptan(6):  /rescue hingway
7:22:49 | ronaldo561(7): voy
7:23:17 | Asi_Kaptan(6):  /rescue hingway go pls
7:25:19 | ronaldo561(7): convoy
7:25:24 | Asi_Kaptan(6): dorse pls
7:25:44 | [CMD] ronaldo561(7) => /convoy
7:26:11 | ronaldo561(7): tu convoy
7:26:17 | Asi_Kaptan(6): yes
7:26:18 | ronaldo561(7): tu /convoy
7:26:26 | Asi_Kaptan(6): yes ronaldo
7:26:41 | [CMD] ronaldo561(7) => /convoy
7:27:20 | ronaldo561(7): como convoy amigos
7:27:29 | Asi_Kaptan(6): okey
7:27:29 | ronaldo561(7): 2 busca
7:27:45 | Asi_Kaptan(6): yes
7:28:4 | ronaldo561(7): ok
7:29:37 | [KAMYONCU] Asi_Kaptan, Diver Island Farm'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 186371$, 1 Skor ve 5 EXP Sure: 628 Saniye
7:29:40 | [CMD] Asi_Kaptan(6) => /convoy
7:29:46 | [CMD] ronaldo561(7) => /convou
7:29:50 | [CMD] ronaldo561(7) => /convoy
7:29:51 | Asi_Kaptan(6):  /convoy
7:29:55 | [CMD] Asi_Kaptan(6) => /work
