0:0:3 | [CMD] ScrappeR(7) => /gobus
0:15:23 | [CMD] Freezer3543(0) => /tamir
0:15:25 | HeRquL(6): ahýrdan kaçan agareis150 nin hazin sonu
0:15:27 | [CMD] ASLANBEY(9) => /araba
0:15:30 | [CMD] Freezer3543(0) => /tamir
0:15:36 | EvoturK(16): gördüm
0:15:38 | [SirketCHT] ASLANBEY(9): ! :D
0:15:38 | [CMD] Freezer3543(0) => /tamir
0:15:40 | agareis150(8): ayn ya ne çekdim
0:15:42 | [SirketCHT] Konyali42(18): ! lan
0:15:42 | [CMD] ScrappeR(7) => /work
0:15:44 | [SirketCHT] Konyali42(18): ! icerdeyim
0:15:45 | [SirketCHT] Freezer3543(0): ! Eyw
0:15:45 | agareis150(8): ne ahýrmýþ
0:15:45 | Strmor31(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:15:46 | [eN]Overlord(10): Restlenecek ne ya
0:15:48 | [SirketCHT] Konyali42(18): ! hayda
0:15:51 | [SirketCHT] Freezer3543(0): ! qweqweqweqwe
0:15:54 | agareis150(8): mezarýna iþemek suçmu
0:16:2 | Konyali42(18): admin
0:16:4 | agareis150(8): istersen o konuyuda kaldýram
0:16:6 | HeRquL(6): evetr
0:16:7 | huso608(13): buyrun
0:16:8 | ASLANBEY(9): rescue cek
0:16:13 | [CMD] HeRquL(6) => /goto kon
0:16:17 | Konyali42(18): sirket yerinde evin icine girdim :D
0:16:17 | EvoturK(16): kaldýrma
0:16:20 | EvoturK(16): gülüyoz eðleniyoz
0:16:22 | EvoturK(16): ahýrlýyoz
0:16:22 | EvoturK(16): afsaf
0:16:23 | [LOCAL]HeRquL(6): nasýl girdin
0:16:23 | [CMD] HeRquL(6) => /l nasýl girdin
0:16:25 | Konyali42(18): nasil bilmiyorum
0:16:27 | [CMD] [eN]Overlord(10) => /kemer
0:16:29 | [CMD] Freezer3543(0) => /kemer
0:16:34 | [CMD] huso608(13) => /goto 18
0:16:37 | [LOCAL]Konyali42(18): aslanbey arabasini cekti freezer kullaniyordu
0:16:37 | [CMD] Konyali42(18) => /l aslanbey arabasini cekti freezer kullaniyordu
0:16:39 | [CMD] [eN]Overlord(10) => /tamir
0:16:39 | [CMD] huso608(13) => /slap 18
0:16:42 | agareis150(8): bari ahýrlarkende ss alaydýmda konu açardým eðlence bölümüne
0:16:44 | [LOCAL]Konyali42(18): bende üstündeydim
0:16:44 | [CMD] Konyali42(18) => /l bende üstündeydim
0:16:52 | [eN]Overlord(10): ne forumcuymulþ
0:16:53 | EvoturK(16): pornografik içerikten ban yiyebilirsinfas
0:16:57 | [eN]Overlord(10): asuojldkjsa
0:16:58 | [CMD] huso608(13) => /goto 12
0:17:3 | [CMD] huso608(13) => /goto 0
0:17:5 | [LOCAL]Konyali42(18): :D
0:17:5 | [CMD] Konyali42(18) => /l :D
0:17:8 | agareis150(8): he ozmn kalsýn
0:17:9 | [LOCAL]Freezer3543(0): qweqqqwqwe
0:17:9 | [CMD] Freezer3543(0) => /l qweqqqwqwe
0:17:15 | [CMD] huso608(13) => /get 18
0:17:16 | [CMD] [eN]Overlord(10) => /sirke
0:17:18 | [CMD] [eN]Overlord(10) => /sirket
0:17:27 | [CMD] huso608(13) => /rescue
0:17:33 | Konyali42(18): huso baskan
0:17:33 | [CMD] HeRquL(6) => /goto kon
0:17:36 | [CMD] huso608(13) => /odunsat
0:17:37 | huso608(13): buyur
0:17:38 | agareis150(8): evo baba ahýra saat gerekiyo
0:17:43 | Konyali42(18): skin in en sevdigim skin
0:17:55 | agareis150(8): benim skinimi deðiþseniz
0:17:58 | huso608(13): ben 249 kullanýyorum genellikle
0:18:4 | Konyali42(18): 259 o 
0:18:5 | [CMD] huso608(13) => /myskin 249
0:18:6 | [CMD] Freezer3543(0) => /tamir
0:18:10 | Konyali42(18): 249 degil
0:18:10 | agareis150(8): benimini deðiþseniz
0:18:10 | [CMD] HeRquL(6) => /bira
0:18:13 | [CMD] huso608(13) => /goto 18
0:18:26 | Konyali42(18): tüüh
0:18:29 | Konyali42(18): zikkim ic
0:18:30 | Konyali42(18): :D
0:18:30 | [CMD] HeRquL(6) => /sigara2
0:18:35 | [CMD] HeRquL(6) => /bira
0:18:35 | agareis150(8): skinimi deðiþin benimde
0:18:36 | Konyali42(18): iste bu skin
0:18:41 | Konyali42(18): en sevdigim skin
0:18:42 | [CMD] Freezer3543(0) => /tamir
0:18:44 | huso608(13): aynen
0:18:48 | ASLANBEY(9): huso bu sýcakta o mu giyilir :D
0:18:51 | agareis150(8): benimde skin deðiþin
0:18:54 | [CMD] Freezer3543(0) => /tamir
0:18:54 | ASLANBEY(9): piþmiyor musun :D
0:18:58 | [CMD] huso608(13) => /setskin 18 249
0:19:1 | [CMD] agareis150(8) => /yerbul 16
0:19:8 | huso608(13): gerek yok zengin gosteriyor
0:19:11 | ASLANBEY(9): tamam paran var anladýk zenginsin :Dw
0:19:13 | [CMD] agareis150(8) => /yerbul 16
0:19:14 | [CMD] EvoturK(16) => /goto 9
0:19:15 | [CMD] huso608(13) => /rescue
0:19:19 | [CMD] agareis150(8) => /rescue
0:19:27 | Konyali42(18): ooo evo bey
0:19:30 | [CMD] agareis150(8) => /araba
0:19:31 | Konyali42(18): sirketimize hg
0:19:31 | [CMD] huso608(13) => /work
0:19:33 | EvoturK(16): hb
0:19:35 | [CMD] Konyali42(18) => /tamir
0:19:36 | EvoturK(16): þirket bastým
0:19:37 | [eN]Overlord(10): evo
0:19:38 | [CMD] agareis150(8) => /yerbul 16
0:19:39 | [CMD] ScrappeR(7) => /work
0:19:40 | EvoturK(16): konyali
0:19:43 | Konyali42(18): efendim
0:19:43 | [CMD] agareis150(8) => /kemer
0:19:46 | [eN]Overlord(10): neden artýn hq sunda çiftleþen inek var
0:19:48 | EvoturK(16): art üyesisin üstünde bzk yazýyor
0:19:53 | EvoturK(16): yoksa sen çift taraflý mý oynuyosun
0:19:56 | Konyali42(18): bugdur
0:19:56 | HeRquL(6): gg
0:19:57 | huso608(13): :D
0:19:58 | EvoturK(16): hee
0:19:59 | [CMD] [eN]Overlord(10) => /kemer
0:20:2 | [CMD] [eN]Overlord(10) => /arnek1
0:20:3 | EvoturK(16): seni parçalasýnlar mý þimdi bu adamlar
0:20:3 | Konyali42(18): icerdeyim
0:20:4 | [CMD] [eN]Overlord(10) => /modifiye
0:20:7 | EvoturK(16): içerdema
0:20:7 | Konyali42(18): :D
0:20:9 | [CMD] agareis150(8) => /meslek
0:20:11 | EvoturK(16): ajan bu ahýra atýn
0:20:16 | agareis150(8) Oduncu olarak spawn oldu.
0:20:16 | Freezer3543(0): C res
0:20:19 | [CMD] huso608(13) => /cantazele
0:20:23 | [CMD] agareis150(8) => /yerbul 16
0:20:27 | [CMD] [eN]Overlord(10) => /karakol
0:20:30 | [CMD] [eN]Overlord(10) => /cezaode
0:20:32 | Konyali42(18): :D
0:20:33 | [CMD] [eN]Overlord(10) => /meslek
0:20:33 | {FFCC00}Konyali42(18) {FFFFFF}Kamyoncu olarak spawn oldu.
0:20:34 | [CMD] agareis150(8) => /meslek
0:20:37 | {FFCC00}agareis150(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:20:37 | [CMD] HeRquL(6) => /cantazele
0:20:39 | ASLANBEY(9): id 10 mekanýný bildi 
0:20:39 | {FFCC00}[eN]Overlord(10) {FFFFFF}Polis olarak spawn oldu.
0:20:40 | [CMD] Freezer3543(0) => /tamir
0:20:43 | [CMD] huso608(13) => /sigara2
0:20:44 | [eN]Overlord(10): ?
0:20:46 | [CMD] agareis150(8) => /yerbul 16
0:20:48 | EvoturK(16): oha
0:20:51 | [CMD] [eN]Overlord(10) => /meslek
0:20:52 | EvoturK(16): ahýra attý ben,
0:20:58 | EvoturK(16): noluyo la
0:21:0 | EvoturK(16): ahýra tp oldum
0:21:1 | [LOCAL]xqHost(11): yalnýz biþey dicem
0:21:1 | [CMD] xqHost(11) => /l yalnýz biþey dicem
0:21:1 | [eN]Overlord(10) Pizzaci olarak spawn oldu.
0:21:3 | [CMD] Freezer3543(0) => /kemer
0:21:4 | [CMD] EvoturK(16) => /goto konyali
0:21:5 | [LOCAL]ScrappeR(7): evet
0:21:5 | [CMD] ScrappeR(7) => /l evet
0:21:5 | [CMD] agareis150(8) => /rescue
0:21:6 | EvoturK(16): asfsaf
0:21:8 | [LOCAL]xqHost(11): görev gelmemiþ :D
0:21:8 | [CMD] xqHost(11) => /l görev gelmemiþ :D
0:21:8 | [eN]Overlord(10): pizzacýyý düzeltin
0:21:10 | [eN]Overlord(10): plz
0:21:11 | [CMD] agareis150(8) => /rescue
0:21:13 | [CMD] huso608(13) => /work
0:21:13 | Konyali42(18): herkes evine diyor sistem :D
0:21:14 | EvoturK(16): tm
0:21:16 | EvoturK(16): afasf
0:21:16 | Freezer3543(0): Aslan araclarýna goz diktim qweqe
0:21:19 | [CMD] [eN]Overlord(10) => /meslek
0:21:21 | [CMD] Freezer3543(0) => /tamir
0:21:25 | [eN]Overlord(10) Oduncu olarak spawn oldu.
0:21:25 | agareis150(8): evo baba nerdesin gelem yanýna
0:21:27 | [LOCAL]xqHost(11): rescue çekelim
0:21:27 | [CMD] xqHost(11) => /L rescue çekelim
0:21:28 | EvoturK(16): art
0:21:29 | [LOCAL]ScrappeR(7): ben yapim
0:21:29 | [CMD] ScrappeR(7) => /l ben yapim
0:21:30 | Freezer3543(0): Benim aracým 5 kisi tasýr
0:21:32 | [CMD] agareis150(8) => /rescue
0:21:32 | [LOCAL]xqHost(11): tm
0:21:32 | [CMD] xqHost(11) => /l tm
0:21:42 | [CMD] [eN]Overlord(10) => /work
0:21:43 | [CMD] EvoturK(16) => /ise
0:21:45 | HeRquL(6): pilot uçuþa geçti,
0:21:45 | [CMD] [eN]Overlord(10) => /work
0:21:46 | ASLANBEY(9): aracý istediðin gibi kullan ama kýz atarsan yýkatýp getir :D
0:21:47 | EvoturK(16): tuvaletiniz güzel deðil
0:21:48 | [CMD] Konyali42(18) => /piss
0:21:51 | [LOCAL][eN]Overlord(10): Selamýn aleyküm
0:21:51 | [CMD] [eN]Overlord(10) => /l Selamýn aleyküm
0:21:53 | [CMD] Konyali42(18) => /piss
0:21:54 | EvoturK(16): kapýsý yok bir klere
0:21:58 | [LOCAL]Konyali42(18): kolay gelsin :D
0:21:58 | [CMD] Konyali42(18) => /l kolay gelsin :D
0:21:58 | EvoturK(16): dýþarýdan gözüküyor iþediðim
0:21:58 | [LOCAL][eN]Overlord(10): baþkan 20 odunda ne kadar veriyor
0:21:58 | [CMD] [eN]Overlord(10) => /L baþkan 20 odunda ne kadar veriyor
0:22:0 | [LOCAL]huso608(13): aleykumselam
0:22:0 | [CMD] huso608(13) => /l aleykumselam
0:22:2 | [CMD] Konyali42(18) => /piss
0:22:3 | [CMD] agareis150(8) => /rescue
0:22:3 | EvoturK(16): yiðidin malý meydandadýr diyonuz heralde
0:22:5 | HeRquL(6): biz tuvalet için çamlýða gidiyoruz
0:22:6 | [LOCAL]EvoturK(16): eyv sana da kolay gelsin
0:22:6 | [CMD] EvoturK(16) => /l eyv sana da kolay gelsin
0:22:7 | EvoturK(16): asfsaf
0:22:9 | [LOCAL]huso608(13): 20 odun 20 skor 
0:22:9 | [CMD] huso608(13) => /l 20 odun 20 skor 
0:22:9 | EvoturK(16): ne bakýyon miladeri
0:22:13 | Konyali42(18): :D
0:22:15 | [LOCAL]huso608(13): 20k para
0:22:15 | [CMD] huso608(13) => /l 20k para
0:22:20 | Konyali42(18): büyükmüs asd:ASDS
0:22:22 | [CMD] HeRquL(6) => /ise
0:22:23 | [LOCAL][eN]Overlord(10): 3k olmam için nasýl çabucak skor kasabilirim
0:22:23 | [CMD] [eN]Overlord(10) => /l 3k olmam için nasýl çabucak skor kasabilirim
0:22:24 | HeRquL(6): evo gel
0:22:33 | [CMD] Freezer3543(0) => /adminol
0:22:35 | [CMD] ASLANBEY(9) => /emrah
0:22:37 | [CMD] Freezer3543(0) => /tamir
0:22:37 | [LOCAL]huso608(13): zaman birinci kural 
0:22:37 | [CMD] huso608(13) => /l zaman birinci kural 
0:22:38 | agareis150(8): evo baba yanýnýza çekseniz
0:22:38 | [CMD] ASLANBEY(9) => /emrah
0:22:38 | [CMD] EvoturK(16) => /goto 6
0:22:42 | EvoturK(16): büyüksün abiððð diyosun
0:22:45 | [CMD] [eN]Overlord(10) => /stats
0:22:45 | Freezer3543(0): Sw resten sonra gelicem :D
0:22:47 | EvoturK(16): çiçek suluyo adam
0:22:49 | [CMD] [eN]Overlord(10) => /stats
0:22:49 | [SirketCHT] Konyali42(18): ! :D
0:22:50 | HeRquL(6): ayn
0:22:56 | [LOCAL][eN]Overlord(10): meslek olarak
0:22:56 | [CMD] [eN]Overlord(10) => /l meslek olarak
0:22:58 | ASLANBEY(9): evo 
0:22:58 | [LOCAL]huso608(13): ben genellikle odunculuk yapýyom hem islerim kolay oluyor
0:22:58 | [CMD] huso608(13) => /l ben genellikle odunculuk yapýyom hem islerim kolay oluyor
0:22:59 | HeRquL(6): katký
0:23:1 | EvoturK(16): evet
0:23:2 | ASLANBEY(9): balli çektim 
0:23:3 | [CMD] agareis150(8) => /meslek
0:23:4 | ASLANBEY(9): :D :D
0:23:6 | Konyali42(18): aslan in karni agriyor
0:23:7 | {FFCC00}agareis150(8) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:23:8 | [CMD] ScrappeR(7) => /cevir
0:23:9 | [CMD] HeRquL(6) => /animlist
0:23:9 | EvoturK(16): afiyet olsun
0:23:13 | [LOCAL]huso608(13): kargo yap 
0:23:13 | [CMD] huso608(13) => /l kargo yap 
0:23:15 | agareis150(8): hadi herkeze bb
0:23:17 | [LOCAL]huso608(13): ortakla
0:23:17 | [CMD] huso608(13) => /l ortakla
0:23:20 | agareis150(8): 5 dk sonra bb
0:23:20 | [CMD] ASLANBEY(9) => /animkapat
0:23:23 | [CMD] huso608(13) => /rescue
0:23:24 | [LOCAL][eN]Overlord(10): ortak konusunda sýkýntý oluyor
0:23:24 | [CMD] [eN]Overlord(10) => /L ortak konusunda sýkýntý oluyor
0:23:25 | ASLANBEY(9): :D :D
0:23:25 | agareis150(8): belki hiç açýlmaz
0:23:29 | [CMD] ASLANBEY(9) => /emrah
0:23:30 | [CMD] HeRquL(6) => /burakyilmaz
0:23:30 | Konyali42(18): herqul seninkide selaleymis mübarek
0:23:33 | [CMD] huso608(13) => /odunsat
0:23:34 | [CMD] [eN]Overlord(10) => /basarimlar
0:23:34 | [CMD] agareis150(8) => /rescue
0:23:37 | HeRquL(6): :D
0:23:37 | [CMD] huso608(13) => /goto 10
0:23:40 | [LOCAL]huso608(13): tek yap
0:23:40 | [CMD] huso608(13) => /l tek yap
0:23:41 | Konyali42(18): c res
0:23:42 | HeRquL(6): birayý fazla kaçýrmuþum
0:23:45 | [CMD] HeRquL(6) => /cantazele
0:23:52 | agareis150(8): kaç dk var resete
0:23:53 | [CMD] huso608(13) => /goto 10
0:23:54 | [eN]Overlord(10): evo
0:23:58 | EvoturK(16): evet
0:24:0 | ASLANBEY(9): 10sn
0:24:3 | [LOCAL]HeRquL(6): hangi komut 
0:24:3 | [CMD] HeRquL(6) => /l hangi komut 
0:24:3 | ScrappeR(7): odul dagýt reis 
0:24:6 | [eN]Overlord(10): 5tl ye sunucudan ne alabilirim
0:24:9 | [CMD] [eN]Overlord(10) => /rescue
0:24:11 | EvoturK(16): bilmem
0:24:13 | [eN]Overlord(10): baþ?
0:24:17 | EvoturK(16): bilmiyom asdfa
0:24:19 | agareis150(8): nick deðiþin
0:24:20 | [CMD] Freezer3543(0) => /tamir
0:24:23 | Freezer3543(0) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | HeRquL(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | ScrappeR(7) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | agareis150(8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | ASLANBEY(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | [eN]Overlord(10) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | xqHost(11) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | huso608(13) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | EvoturK(16) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:23 | Konyali42(18) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:24:29 | Sunucu kapatildi.
0:24:42 | Sunucu calistirildi.
0:25:2 | xqHost(6) oyuna girdi [IP: 176.33.167.164]
0:25:3 | HeRquL(7) oyuna girdi [IP: 176.33.248.251]
0:25:5 | Konyali42(8) oyuna girdi [IP: 89.13.247.214]
0:25:7 | agareis150(9) oyuna girdi [IP: 78.190.160.226]
0:25:8 | ASLANBEY(10) oyuna girdi [IP: 195.142.66.223]
0:25:10 | 
0:25:12 | 
0:25:14 | {FFCC00}HeRquL(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:25:16 | 
0:25:16 | ScrappeR(11) oyuna girdi [IP: 178.241.78.58]
0:25:17 | 
0:25:18 | [CMD] HeRquL(7) => /admgiris
0:25:19 | 
0:25:19 | {FFCC00}Konyali42(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:25:24 | [CMD] xqHost(6) => /rescue
0:25:24 | {FFCC00}agareis150(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:25:26 | 
0:25:26 | [CMD] Konyali42(8) => /rescue
0:25:27 | [CMD] agareis150(9) => /sa
0:25:28 | 
0:25:29 | [CMD] HeRquL(7) => /as
0:25:29 | [CMD] Konyali42(8) => /bonus
0:25:30 | {FFCC00}ASLANBEY(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:25:30 | 
0:25:31 | [eN]Overlord(12) oyuna girdi [IP: 176.227.126.80]
0:25:32 | [CMD] ScrappeR(11) => /sa
0:25:34 | [CMD] Konyali42(8) => /as
0:25:36 | [CMD] agareis150(9) => /as
0:25:38 | [CMD] Konyali42(8) => /rescue
0:25:39 | [CMD] HeRquL(7) => /goto 8
0:25:42 | 
0:25:42 | [CMD] Konyali42(8) => /convoy
0:25:42 | agareis150(9): evo baba gircekmi
0:25:44 | [CMD] ScrappeR(11) => /kemer
0:25:45 | [CMD] ScrappeR(11) => /modifiye
0:25:46 | [CMD] HeRquL(7) => /burakyilmaz
0:25:49 | [eN]Overlord(12) Cöpcü olarak spawn oldu.
0:25:51 | [CMD] HeRquL(7) => /burakyýlmaz
0:25:51 | [CMD] [eN]Overlord(12) => /as
0:25:53 | [CMD] ScrappeR(11) => /work
0:25:55 | [CMD] HeRquL(7) => /animlist
0:25:56 | Konyali42(8): harbourdan convoy vardir
0:25:58 | [CMD] ASLANBEY(10) => /pm 7 /emrah komutu
0:26:0 | [eN]Overlord(12): çöpçü olcak var mý
0:26:5 | [CMD] agareis150(9) => /work
0:26:6 | [CMD] Konyali42(8) => /kemer
0:26:6 | [CMD] HeRquL(7) => /emrah
0:26:8 | [CMD] [eN]Overlord(12) => /rescue,
0:26:10 | [CMD] [eN]Overlord(12) => /rescue
0:26:11 | [CMD] agareis150(9) => /goreviptal
0:26:12 | [CMD] HeRquL(7) => /emrah
0:26:13 | [CMD] [eN]Overlord(12) => /gobus
0:26:16 | [CMD] [eN]Overlord(12) => /araba
0:26:19 | [LOCAL]ASLANBEY(10): :D
0:26:19 | [CMD] ASLANBEY(10) => /l :D
0:26:19 | agareis150(9): evo baba gircekmi
0:26:21 | [CMD] HeRquL(7) => /nevarlan
0:26:22 | Konyali42(8): harbourdan convoy vardir
0:26:23 | [eN]Overlord(12): agareis
0:26:25 | agareis150(9): efm
0:26:27 | [CMD] HeRquL(7) => /convoy
0:26:28 | [eN]Overlord(12): çöpçü gel
0:26:33 | [CMD] [eN]Overlord(12) => /stats
0:26:35 | agareis150(9): tm
0:26:38 | [CMD] ASLANBEY(10) => /sirketdorse
0:26:38 | [CMD] agareis150(9) => /meslek
0:26:42 | agareis150(9) Cöpcü olarak spawn oldu.
0:26:44 | [CMD] HeRquL(7) => /convoy
0:26:50 | [LOCAL][eN]Overlord(12): Sür
0:26:50 | [CMD] [eN]Overlord(12) => /l Sür
0:26:52 | agareis150(9): çok korktum ha ban yiyince gerçek sandým
0:26:59 | [CMD] HeRquL(7) => /convoy
0:27:0 | [LOCAL][eN]Overlord(12): alýþ bunlara
0:27:0 | [CMD] [eN]Overlord(12) => /l alýþ bunlara
0:27:2 | [CMD] agareis150(9) => /work
0:27:3 | [LOCAL][eN]Overlord(12): evo reis bu
0:27:3 | [CMD] [eN]Overlord(12) => /l evo reis bu
0:27:4 | [CMD] agareis150(9) => /kemer
0:27:6 | [CMD] agareis150(9) => /work
0:27:7 | [SirketCHT] Konyali42(8): ! aslan gelecenmi
0:27:9 | [LOCAL][eN]Overlord(12): troller herkezi
0:27:9 | [CMD] [eN]Overlord(12) => /l troller herkezi
0:27:13 | [CMD] ASLANBEY(10) => /convoy
0:27:19 | [CMD] HeRquL(7) => /respawn 633
0:27:30 | [CMD] [eN]Overlord(12) => /modifiye
0:27:37 | [eN]Overlord(12): aa evo girmedi
0:27:37 | huso608(13) oyuna girdi [IP: 178.245.244.26]
0:27:42 | [CMD] HeRquL(7) => /adminol
0:27:42 | agareis150(9): ayn
0:27:44 | Konyali42(8): bb
0:27:47 | [LOCAL][eN]Overlord(12): bi 5 görev yapalým senle sonra kargocu girelim skor kasalým
0:27:47 | [CMD] [eN]Overlord(12) => /l bi 5 görev yapalým senle sonra kargocu girelim skor kasalým
0:27:48 | HeRquL(7): bb
0:27:49 | HeRquL(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:27:50 | 
0:27:56 | huso608(13) Oduncu olarak spawn oldu.
0:27:56 | agareis150(9): aga yarýn girsek
0:28:1 | [eN]Overlord(12): Olur
0:28:5 | [CMD] huso608(13) => /admgiris
0:28:11 | [eN]Overlord(12): istersen çýk þimdi
0:28:13 | [CMD] agareis150(9) => /basarimlar
0:28:14 | [CMD] Konyali42(8) => /sirket
0:28:16 | agareis150(9): yok
0:28:18 | [CMD] huso608(13) => /admgiris
0:28:21 | agareis150(9): bitsinde
0:28:23 | [eN]Overlord(12): ben bir þekilde hallederim
0:28:25 | [eN]Overlord(12): çýk sen
0:28:30 | agareis150(9): bitince çýkarým
0:28:40 | [eN]Overlord(12): tamam
0:28:45 | [LOCAL]ScrappeR(11): atla
0:28:45 | [CMD] ScrappeR(11) => /l atla
0:28:53 | [cCc]HulkHulk[cCc](7) oyuna girdi [IP: 176.217.136.201]
0:28:55 | [eN]Overlord(12): kb. /l kullanmayý unuttum chat temizler misiniz
0:29:2 | 
0:29:5 | {FFCC00}[cCc]HulkHulk[cCc](7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:29:7 | huso608(13):   /pcc
0:29:10 | [CMD] huso608(13) => /work
0:29:15 | [eN]Overlord(12): hayýr sizin ekranýnýzda kirlenmiþtir
0:29:20 | huso608(13): ssorun yok
0:29:30 | [eN]Overlord(12): peki.
0:29:31 | [CMD] ScrappeR(11) => /pcc
0:29:34 | [CMD] Konyali42(8) => /work
0:29:35 | [CMD] [eN]Overlord(12) => /convoy
0:29:50 | [CMD] huso608(13) => /cantazele
0:29:51 | [CMD] [eN]Overlord(12) => /copyazi
0:29:54 | [CMD] [eN]Overlord(12) => /copcuyazi
0:29:58 | [CMD] [eN]Overlord(12) => /dolmusyazi
0:30:3 | [CMD] [eN]Overlord(12) => /polisyazi
0:30:4 | [CMD] [cCc]HulkHulk[cCc](7) => /sac
0:30:11 | agareis150(9): arabayý ortaya býrakayým
0:30:18 | [CMD] ScrappeR(11) => /work
0:30:18 | huso608(13): neden
0:30:25 | [CMD] huso608(13) => /spec 9
0:30:26 | [eN]Overlord(12): rank4 olan kim
0:30:29 | ScrappeR(11): ben
0:30:32 | [eN]Overlord(12): h.o
0:30:32 | [CMD] ASLANBEY(10) => /asiriyuk
0:30:34 | [CMD] ASLANBEY(10) => /asiriyuk
0:30:35 | ScrappeR(11): eyw
0:30:37 | [CMD] huso608(13) => /specoff
0:30:37 | huso608(13) Oduncu olarak spawn oldu.
0:30:38 | [eN]Overlord(12): 1530 skor rank4 mü
0:30:40 | [CMD] [eN]Overlord(12) => /ranklar
0:30:45 | huso608(13):   /ranklar
0:30:47 | agareis150(9): atla
0:30:50 | [cCc]HulkHulk[cCc](7): sea
0:30:51 | [eN]Overlord(12): 5 deðil mi
0:30:57 | [CMD] huso608(13) => /work
0:31:3 | [CMD] huso608(13) => /ranklar
0:31:4 | [eN]Overlord(12): neyse
0:31:6 | [CMD] [cCc]HulkHulk[cCc](7) => /saat 1
0:31:14 | Freezer3543(14) oyuna girdi [IP: 88.246.151.40]
0:31:16 | [CMD] [eN]Overlord(12) => /pm 9 ben süreyim sen getir
0:31:23 | [CMD] agareis150(9) => /pm 12 tm
0:31:23 | 
0:31:24 | Freezer3543(14) Mafya olarak spawn oldu.
0:31:29 | [CMD] Freezer3543(14) => /sa
0:31:32 | [CMD] ScrappeR(11) => /as
0:31:38 | [CMD] huso608(13) => /as
0:31:45 | [CMD] ASLANBEY(10) => /as
0:31:55 | [CMD] [eN]Overlord(12) => /tamir
0:31:58 | [CMD] Konyali42(8) => /as
0:32:3 | DeathStroke(15) oyuna girdi [IP: 78.176.34.188]
0:32:17 | 
0:32:24 | {FFCC00}DeathStroke(15) {FFFFFF}Pilot olarak spawn oldu.
0:32:28 | [CMD] DeathStroke(15) => /sa
0:32:31 | [CMD] ScrappeR(11) => /as
0:32:31 | [CMD] Freezer3543(14) => /as
0:32:31 | [CMD] ASLANBEY(10) => /as
0:32:31 | [CMD] Konyali42(8) => /as
0:32:31 | [CMD] huso608(13) => /as
0:32:35 | [CMD] DeathStroke(15) => /admins
0:32:44 | [CMD] huso608(13) => /work
0:32:46 | [CMD] [cCc]HulkHulk[cCc](7) => /tamir
0:32:47 | ScrappeR(11): admin can tazelermisin
0:32:49 | [CMD] huso608(13) => /cantazele
0:32:50 | DeathStroke(15): bakýmda neler geldi?
0:32:54 | ScrappeR(11): eyw
0:33:4 | huso608(13): bakýmda buglar temizlenir
0:33:4 | [CMD] DeathStroke(15) => /gobus
0:33:13 | DeathStroke(15): eklenti olmazmý?
0:33:20 | [CMD] DeathStroke(15) => /icerigier
0:33:22 | [CMD] DeathStroke(15) => /icerigir
0:33:24 | [CMD] DeathStroke(15) => /isyerimenu
0:33:29 | Konyali42(8): huso baskan
0:33:30 | [CMD] DeathStroke(15) => /gobus
0:33:31 | [CMD] Freezer3543(14) => /rescue
0:33:34 | [CMD] DeathStroke(15) => /icerigir
0:33:36 | huso608(13): genel olaylarda olmaz sadece yoneticiler birseyler eklerse
0:33:36 | [CMD] DeathStroke(15) => /isyerimenu
0:33:39 | huso608(13): buyrun
0:33:40 | Konyali42(8): id 188 dorse verirmisin
0:33:42 | Konyali42(8): acil 10 sn
0:33:48 | [CMD] huso608(13) => /goto 8
0:33:51 | [CMD] huso608(13) => /goreviptal
0:33:55 | [CMD] DeathStroke(15) => /rescue
0:33:56 | Konyali42(8): bitti
0:33:57 | [CMD] huso608(13) => /getdorse 188
0:33:59 | Konyali42(8): :D
0:34:1 | [eN]Overlord(12): g.o
0:34:2 | [CMD] [eN]Overlord(12) => /tamir
0:34:4 | DeathStroke(15): Feribota nasýl giderim?
0:34:7 | ASLANBEY(10): la konyalý 10sn kala mý soylenir
0:34:9 | [eN]Overlord(12): @15 gelmesini bekleyerek
0:34:9 | Konyali42(8): arac res yap
0:34:10 | Freezer3543(14): G.o.
