0:0:2 | TunlordBeyWT(6): neyse biter þimdi
0:36:4 | Konyali42(11): aynen :d
0:37:29 | [CMD] sezzer(9) => /c dk tuttum yol benim hýzýmla 8 dk sürüyo
0:37:46 | _DarkAngel_(7) oyuna girdi [IP: 95.12.18.221]
0:37:59 | 
0:38:1 | {FFCC00}_DarkAngel_(7) {FFFFFF}Pilot olarak spawn oldu.
0:38:9 | [CMD] _DarkAngel_(7) => /gobus
0:38:22 | [CMD] _DarkAngel_(7) => /icerigir
0:38:28 | [CMD] _DarkAngel_(7) => /isyerimenu
0:38:33 | [CMD] _DarkAngel_(7) => /isyerimenu
0:38:48 | _DarkAngel_(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:40:26 | [CMD] ASLANBEY(10) => /tamir
0:41:52 | ASLANBEY(10): sezer yetiþtin mi
0:42:0 | sezzer(9): þimdi yetiþtim
0:42:1 | [CMD] DarkFlow(15) => /convoykontrol
0:42:4 | ASLANBEY(10): wd
0:42:13 | huso608(0): tersten güzel gidiyorsun
0:42:20 | DarkFlow(15): kim o
0:42:37 | huso608(0): sezzer kim olacak baska
0:42:42 | sezzer(9): ben mi
0:42:42 | [CMD] huso608(0) => /cantazele
0:42:45 | huso608(0): evet
0:42:46 | sezzer(9): nerde girdim ters
0:42:48 | [CMD] Konyali42(11) => /sirket
0:42:49 | DarkFlow(15): :D
0:42:51 | huso608(0): eski seri sirketi 
0:43:4 | Konyali42(11): bu benim son görev
0:43:5 | huso608(0): vabis ti bi ara
0:43:18 | sezzer(9): ordan ters girmek mecbur 
0:43:22 | sezzer(9): yapcak biþey yok
0:43:23 | [CMD] Konyali42(11) => /tamir
0:43:25 | huso608(0): degil baskan
0:43:30 | sezzer(9): he he tmm
0:43:31 | sezzer(9): sensin
0:43:35 | sezzer(9): tartýþmýcam
0:43:45 | huso608(0): 9 dakika diyom nasýl 8 dakika oldu 
0:43:50 | Konyali42(11): sezer benim kamyonu alacanmi
0:43:52 | huso608(0): sonradan anladým
0:43:56 | sezzer(9): çýkýyon mu knk
0:43:58 | Konyali42(11): evt
0:44:3 | Konyali42(11): görev bitsin
0:44:4 | sezzer(9): tmm bende az mola verem
0:44:8 | sezzer(9): face bakam
0:44:9 | [CMD] Madness(6) => /tamir
0:44:15 | Madness(6): ben 4km geriden geldim onu da hesaplayýn
0:44:16 | [CMD] DarkFlow(15) => /sirket
0:44:17 | Konyali42(11): kamyona bin
0:44:19 | sezzer(9): bitince beni atýn konvoydan
0:44:21 | sezzer(9): bitince ama
0:44:40 | ASLANBEY(10): ben bu sefer uzun yoldan geldim
0:44:43 | Konyali42(11): alacanmi
0:44:46 | [CMD] ASLANBEY(10) => /convoy ayril
0:44:46 | sezzer(9): tok knk
0:44:47 | Konyali42(11): kamyonu
0:44:49 | [CMD] ASLANBEY(10) => /convoy ayril
0:44:49 | sezzer(9): yok
0:44:49 | Konyali42(11): tmm
0:44:54 | [CMD] ASLANBEY(10) => /convoyayril
0:44:55 | Konyali42(11): polis ol
0:44:58 | [CMD] DarkFlow(15) => /sirket
0:45:1 | [CMD] Madness(6) => /sirket
0:45:1 | [CMD] Konyali42(11) => /convoyayril
0:45:5 | [CMD] Konyali42(11) => /karako
0:45:7 | [CMD] Konyali42(11) => /karakol
0:45:14 | DarkFlow(15): 16 yýldýz :D
0:45:16 | [CMD] ASLANBEY(10) => /convoy
0:45:17 | [CMD] Konyali42(11) => /cezaode
0:45:19 | [CMD] DarkFlow(15) => /karakol
0:45:21 | huso608(0): hadi baslayýn babalar devam 
0:45:21 | [CMD] Konyali42(11) => /adminol
0:45:24 | [CMD] DarkFlow(15) => /cezaode
0:45:25 | huso608(0): ßß
0:45:25 | Konyali42(11): bb
0:45:26 | [CMD] ASLANBEY(10) => /adminol
0:45:27 | Konyali42(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:45:29 | huso608(0): ßß
0:45:33 | Madness(6): ßß
0:45:34 | [CMD] DarkFlow(15) => /convoyiptal
0:45:35 | ASLANBEY(10): çýkmadan ss alam
0:45:42 | [CMD] ASLANBEY(10) => /sirket
0:45:43 | [CMD] DarkFlow(15) => /rescue
0:45:47 | Madness(6): neden aranýzdaki en ezik kiþi benim
0:45:53 | [CMD] DarkFlow(15) => /c dvmmý
0:45:55 | [CMD] Madness(6) => /c go
0:45:59 | [CMD] huso608(0) => /c evet
0:46:1 | [CMD] DarkFlow(15) => /c týr alýp gelem
0:46:5 | [CMD] huso608(0) => /a sezzer 
0:46:9 | [CMD] huso608(0) => /c sezzer 
0:46:13 | [CMD] DarkFlow(15) => /kemer
0:46:18 | [CMD] ASLANBEY(10) => /karakol
0:46:22 | [CMD] ASLANBEY(10) => /cezaode
0:46:24 | [CMD] huso608(0) => /c convoydan cýkýn
0:46:28 | [CMD] ASLANBEY(10) => /gobus
0:46:30 | [CMD] DarkFlow(15) => /c afk zezer
0:46:31 | [CMD] huso608(0) => /convoyayril
0:46:35 | [CMD] Madness(6) => /convoyayril
0:46:37 | [CMD] Madness(6) => /convoy
0:46:37 | ASLANBEY(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:46:37 | [CMD] huso608(0) => /convoy
0:46:39 | [CMD] DarkFlow(15) => /convoyayril
0:46:40 | [CMD] Madness(6) => /convoy
0:46:41 | [CMD] DarkFlow(15) => /convoy
0:46:48 | [CMD] huso608(0) => /c haber verin
0:46:52 | [CMD] Madness(6) => /c go
0:46:59 | [CMD] Madness(6) => /c cikcam diyodu
0:46:59 | [CMD] huso608(0) => /c oyle baslayým
0:47:7 | [CMD] huso608(0) => /a kim
0:47:10 | [CMD] huso608(0) => /c kim
0:47:16 | [CMD] Madness(6) => /c bitince atýn beni konvoydan demisti sezer
0:47:24 | [CMD] DarkFlow(15) => /c lider sezer atýlmaz
0:47:31 | [CMD] DarkFlow(15) => /kemer
0:47:35 | [CMD] huso608(0) => /c bunlarýn yapacagý is ne beklersin
0:47:47 | [CMD] huso608(0) => /dtemizle
0:47:49 | [CMD] huso608(0) => /work
0:47:55 | [CMD] DarkFlow(15) => /c :D
0:47:56 | Madness(6): huso sabah 2 sýnav var
0:48:5 | [CMD] huso608(0) => /asiriyuk
0:48:7 | [CMD] DarkFlow(15) => /asiriyuk
0:48:9 | [CMD] DarkFlow(15) => /asiriyuk
0:48:12 | Denchik(7) oyuna girdi [IP: 37.73.218.182]
0:48:37 | Denchik(7) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:50:34 | [CMD] huso608(0) => /atamir
0:50:35 | [CMD] huso608(0) => /fuel
0:50:35 | [CMD] DarkFlow(15) => /c geç diye açtým :D
0:50:59 | Madness(6): neyi
0:51:2 | DarkFlow(15): giþeyi
0:51:8 | Madness(6): haram
0:51:11 | DarkFlow(15): :D
0:51:42 | Denchik(7) oyuna girdi [IP: 37.73.218.182]
0:51:58 | Denchik(7) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:56:46 | [CMD] huso608(0) => /fuel
0:56:47 | [CMD] huso608(0) => /atamir
0:57:16 | [CMD] Madness(6) => /tamir
0:58:59 | [CMD] sezzer(9) => /araba
0:59:20 | Madness(6): þerit ihlali :D
0:59:29 | [CMD] DarkFlow(15) => /c :D
0:59:56 | [CMD] huso608(0) => /work
1:0:7 | [CMD] huso608(0) => /vipneon
1:0:11 | [CMD] DarkFlow(15) => /asiriyuk
1:0:22 | [CMD] huso608(0) => /asiriyuk
1:0:50 | [CMD] DarkFlow(15) => /c bayadýr týr kasmýyoduk :D
1:0:58 | huso608(0): aynen
1:1:16 | Madness(6): iyi para
1:1:19 | [CMD] DarkFlow(15) => /c sýktý ama hadlinden çok kastým :D
1:1:38 | [CMD] huso608(0) => /c ayný yer sýkýyor
1:1:44 | [CMD] DarkFlow(15) => /c evet
1:1:51 | [CMD] DarkFlow(15) => /c git gel gitgel :D
1:2:0 | [CMD] DarkFlow(15) => /c sýkýlyo insan belli zaman sonra
1:2:11 | huso608(0): bi dock yapcan bi higway
1:2:18 | [CMD] DarkFlow(15) => /c ayn
1:2:54 | huso608(0): bi harbour bi dive
1:3:1 | [CMD] huso608(0) => /slap 0
1:3:8 | DarkFlow(15): :D
1:3:15 | DarkFlow(15): noýldu la uctun :D
1:3:18 | Madness(6): 2 sýnav var ben samp oynuyom
1:3:33 | huso608(0): aracýn altýnda kaldým
1:3:37 | DarkFlow(15): :D
1:3:57 | huso608(0): matematikten kac aldýn
1:4:2 | [CMD] DarkFlow(15) => /c yanlýslýkla 2 kere enterlýyom bende :D
1:4:16 | [CMD] DarkFlow(15) => /c bazen alta giiriyo :D
1:4:18 | huso608(0): adýný yazdýn diye mi verdi
1:4:22 | huso608(0): aynen
1:4:23 | Madness(6): hayrý
1:4:25 | Madness(6): 1 soru yaptm
1:4:25 | DarkFlow(15): .D
1:4:58 | [CMD] sezzer(9) => /sirket
1:4:59 | DarkFlow(15): oda guzel
1:5:6 | Madness(6): cok kazýk bne nabým
1:5:13 | Madness(6): sabahkiler kolay
1:5:15 | [CMD] sezzer(9) => /karakol
1:5:16 | Madness(6): tarih almanca
1:5:18 | [CMD] sezzer(9) => /sa
1:5:18 | huso608(0): tabi tabi
1:5:19 | [CMD] sezzer(9) => /cezaode
1:5:22 | [CMD] DarkFlow(15) => /as
1:5:32 | [CMD] sezzer(9) => /rescue
1:5:32 | [CMD] Madness(6) => /as
1:5:34 | Madness(6): valla kolay
1:7:11 | [CMD] Madness(6) => /tamir
1:7:11 | [CMD] sezzer(9) => /work
1:7:18 | [CMD] sezzer(9) => /convoyayril
1:7:20 | [CMD] sezzer(9) => /work
1:7:30 | Madness(6): aþýðým beyler
1:7:36 | [CMD] sezzer(9) => /asiriyuk
1:7:38 | sezzer(9): aferin
1:7:44 | huso608(0): bana mý
1:7:47 | Madness(6): evettt
1:7:48 | DarkFlow(15): :D
1:8:16 | huso608(0): bi sen degil bütün sw hasta bana
1:8:21 | Madness(6): :(
1:8:25 | sezzer(9): diyosun
1:8:30 | DarkFlow(15): husoyu gören tululuyo :D
1:8:36 | Madness(6): ismin yeter
1:8:40 | DarkFlow(15): tutamýyo kendini
1:8:46 | sezzer(9): týr kayýyo yapmayýn
1:8:49 | huso608(0): sezer elektrik alamadýn mý benden
1:8:53 | sezzer(9): hayýr
1:8:58 | Madness(6): elektrik ne trafoaaldý
1:9:3 | huso608(0): trafo vereyim
1:9:10 | sezzer(9): saðol sen tak
1:10:2 | Madness(6): bitirdim nerdesnz
1:10:9 | huso608(0): yolda
1:10:13 | DarkFlow(15): arkanda
1:10:14 | Madness(6): çok acýklayýcý helal
1:10:42 | Madness(6): neden aranýzdaki en ezikbenim 136 skor ne
1:10:44 | [CMD] Madness(6) => /sirket
1:10:53 | DarkFlow(15): senin farkýn darklýsýn
1:11:8 | Madness(6): ezikliin neresi fark :D
1:11:26 | huso608(0): yeni basladýn ne ezikligi
1:11:36 | Madness(6): 2 günde 136 skor
1:11:49 | huso608(0): tabi tabi
1:11:51 | DarkFlow(15): madness dorse ucuyo :D
1:11:58 | [CMD] huso608(0) => /work
1:11:59 | Madness(6): seninkide ucuyoý
1:12:11 | [CMD] huso608(0) => /asiriyuk
1:12:14 | [CMD] DarkFlow(15) => /asiriyuk
1:12:16 | [CMD] DarkFlow(15) => /asiriyuk
1:12:20 | sezzer(9): ben chati gizliyorum
1:12:24 | sezzer(9): tribe girdim
1:12:25 | DarkFlow(15): neresi ucuyo
1:12:28 | Madness(6): arkasý
1:12:34 | huso608(0): dorse
1:12:48 | [CMD] DarkFlow(15) => /pm 0 dorse ucuyomu benim
1:12:55 | huso608(0): zl
1:13:1 | [CMD] huso608(0) => /slap 0
1:13:12 | [CMD] huso608(0) => /pm 15 zýplýyor
1:13:20 | [CMD] DarkFlow(15) => /pm 0 çokmu
1:13:38 | [CMD] huso608(0) => /pm 15 arada su an normal
1:14:8 | [CMD] huso608(0) => /atamir
1:14:9 | [CMD] huso608(0) => /fuel
1:14:23 | Madness(6): huso bizim tayfa sana yenge desin mi
1:14:40 | huso608(0): beni gormeden demesin
1:14:45 | Madness(6): niye
1:14:54 | [CMD] DarkFlow(15) => /pm 0 suan nasý
1:14:59 | cucehamster11(7) oyuna girdi [IP: 85.100.105.112]
1:15:5 | huso608(0): gorurlerse anlarla 3 hatunu kim besledigi
1:15:10 | [CMD] huso608(0) => /pm 15 sabit su an
1:15:17 | Madness(6): :(
1:15:26 | 
1:15:32 | cucehamster11(7) Mafya olarak spawn oldu.
1:15:38 | cucehamster11(7): Ýyi geceler beyler
1:15:42 | Madness(6): ig
1:15:42 | [CMD] cucehamster11(7) => /gobus
1:15:42 | huso608(0): sanada
1:15:51 | [CMD] cucehamster11(7) => /icerigir
1:15:52 | sezzer(9): len
1:15:54 | DarkFlow(15): eyw sanada
1:15:55 | [KAMYONCU] sezzer, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 383 Saniye
1:15:59 | [CMD] huso608(0) => /cantazele
1:15:59 | [CMD] cucehamster11(7) => /isyerimenu
1:16:2 | sezzer(9): suri ne zaaman geldin
1:16:8 | [CMD] huso608(0) => /kemer
1:16:11 | cucehamster11(7): aa þimdi
1:16:12 | [CMD] huso608(0) => /vipneon
1:16:15 | [CMD] cucehamster11(7) => /isyerimenu
1:16:16 | sezzer(9): hg knk
1:16:19 | Madness(6): seri # kaç veriyo para
1:16:23 | cucehamster11(7): hb knk
1:16:29 | [CMD] DarkFlow(15) => /sirket
1:16:30 | huso608(0): yuzde yuz
1:16:46 | huso608(0): 70 mi ne zaman gecti 
1:16:50 | DarkFlow(15): bilmem
1:16:54 | DarkFlow(15): 60 dý bi aralar
1:16:56 | huso608(0): gecen sordum
1:16:56 | [CMD] cucehamster11(7) => /gobus
1:16:59 | [CMD] DarkFlow(15) => /sirket
1:17:0 | [CMD] cucehamster11(7) => /icerigir
1:17:3 | [CMD] cucehamster11(7) => /isyerimenu
1:17:5 | huso608(0): eksiksiz veriyoruz dediler
1:17:7 | [CMD] cucehamster11(7) => /gobus
1:17:11 | [CMD] cucehamster11(7) => /icerigir
1:17:13 | [CMD] cucehamster11(7) => /isyerimenu
1:17:18 | DarkFlow(15): sirket payý 70 yazýo
1:17:35 | [CMD] cucehamster11(7) => /gobus
1:17:36 | DarkFlow(15): parada sýkýntý yok
1:17:42 | [CMD] cucehamster11(7) => /icerigir
1:17:42 | DarkFlow(15): veriliyo
1:17:47 | [CMD] cucehamster11(7) => /isyerimenu
1:17:56 | Madness(6): huso kaç m yaparsam usta týrcý olurcam
1:18:7 | huso608(0): huseyin bey veriyor kararý
1:18:7 | cucehamster11(7): 7 8 m oluyo bzk de
1:18:15 | Madness(6): ney 15 mi
1:18:18 | cucehamster11(7): huseyin öyle demiþdi bana
1:18:26 | [CMD] cucehamster11(7) => /rescue
1:18:38 | [CMD] cucehamster11(7) => /kemer
1:18:40 | Madness(6): bana tolga abi 5m dediydi
1:18:40 | [CMD] cucehamster11(7) => /modifiye
1:18:47 | [CMD] Madness(6) => /tamir
1:18:55 | [CMD] cucehamster11(7) => /work
1:19:23 | DarkFlow(15): 7 8 kas sen
1:19:40 | huso608(0): garanti olsun
1:19:46 | DarkFlow(15): ayn
1:20:0 | Madness(6): yeni basladýk ama 5m sirkette var
1:20:28 | [CMD] sezzer(9) => /pm 7 ben wc deyim knk yazarsan
1:20:33 | [CMD] sezzer(9) => /pm 7 gelince yazarým
1:20:37 | [CMD] cucehamster11(7) => /pm 9 tamamdýr kank
1:20:44 | DarkFlow(15): belirli bi seviyeye gelmek için çalýþmak þart
1:21:2 | huso608(0): calýsmadýgýn zaman paket
1:21:3 | DarkFlow(15): sen daha yenisin
1:21:14 | Madness(6): o yuzden catýr cutur calýsýyom ya
1:21:21 | DarkFlow(15): çok çalýsman lazým
1:21:38 | cucehamster11(7): Madness atýlmamak için katký kasýcaksan
1:21:39 | cucehamster11(7): seriye gel
1:21:46 | cucehamster11(7): burda atmýyolar katký kasmayanlarý
1:21:51 | [CMD] DarkFlow(15) => /tamir
1:21:54 | [CMD] DarkFlow(15) => /motor
1:22:19 | Madness(6): burda atýyolar mý
1:22:26 | cucehamster11(7): katký kasmazsan evet
1:22:29 | DarkFlow(15): çalýsmazsan atarlar
1:22:29 | huso608(0): evet
1:22:39 | Madness(6): serinin sahibi kim
1:22:44 | DarkFlow(15): sancak
1:22:45 | cucehamster11(7): Sancak
1:22:45 | huso608(0): sancak
1:22:53 | cucehamster11(7): a7 :D
1:23:8 | Madness(6): usta týrcý falna onda da var dimi
1:23:12 | DarkFlow(15): evet
1:23:14 | cucehamster11(7): her þirkette var
1:23:14 | Madness(6): aldýgý katký daha fazla falan
1:23:19 | DarkFlow(15): ayný sistem
1:23:41 | Madness(6): yetkili olmak icin kac kasmak lazm
1:23:49 | huso608(0): 15 m
1:23:54 | Madness(6): az mýþ
1:24:7 | huso608(0): kac istiyorsun
1:24:13 | Madness(6): bilmem :D
1:24:16 | Madness(6): fazla sandm
1:24:19 | [CMD] cucehamster11(7) => /work
1:24:25 | huso608(0): ilk zamanlar kolay geliyor
1:24:32 | [CMD] Madness(6) => /convoy
1:24:34 | huso608(0): aylar gectikce anlýyorsun
1:24:38 | DarkFlow(15): D:
1:24:45 | Madness(6): kaç aydýr oynuyonuz
1:24:46 | huso608(0): konvoy varken iyi tek zor
1:24:51 | huso608(0): 8 ay oldu benim
1:25:3 | DarkFlow(15): bak ben sýkýldým daha yeni baþladým týr kasmaya oda bugun :D
1:25:4 | Madness(6): 2 günlük vs 8 aylýk :D
1:25:9 | DarkFlow(15): 3 m kasmýsým :D
1:25:20 | Madness(6): pazar günü 1m kastým aldým
1:25:31 | Madness(6): bi 1m daha kastým vermedi hüseyin:D
1:25:32 | huso608(0): bana convoyu bulastýran darkflow
1:25:40 | [CMD] Madness(6) => /sirket
1:25:58 | DarkFlow(15): convoy iyidir
1:26:1 | huso608(0): kader ortagým murat
1:26:15 | DarkFlow(15): mafya bulaþmaz 
1:26:20 | huso608(0): sezer gelecenmi
1:26:32 | cucehamster11(7): o afk
1:26:34 | huso608(0): belli de olmuyor
1:26:42 | Madness(6): aslan beyin 44m o ne öyle .D
1:26:46 | huso608(0): saldýrma diyorsun mafya gelip bulasýyor
1:26:49 | DarkFlow(15): aslan pro :D
1:26:50 | [CMD] huso608(0) => /work
1:26:57 | DarkFlow(15): bazýlarý öyle huso
1:26:58 | DarkFlow(15): :D
1:27:4 | cucehamster11(7): mafya olaylarý yeni çýkdý ya
1:27:4 | DarkFlow(15): ugrastýrýyo
1:27:6 | huso608(0): bi de vip olunca
1:27:14 | [CMD] huso608(0) => /work
1:27:17 | [CMD] DarkFlow(15) => /asiriyuk
1:27:19 | [CMD] DarkFlow(15) => /asiriyuk
1:27:19 | [CMD] huso608(0) => /asiriyuk
1:27:21 | [CMD] DarkFlow(15) => /asiriyuk
1:27:23 | [CMD] huso608(0) => /asiriyuk
1:27:23 | cucehamster11(7): aylar önce böyle yüke saldýranlar yokdu
1:27:23 | [CMD] DarkFlow(15) => /asiriyuk
1:27:45 | huso608(0): userler hareketlendi
1:27:52 | huso608(0): geceleri de aktiflik basladý
1:27:57 | huso608(0): gunduz doluyor sw
1:28:7 | DarkFlow(15): saldýran olursa ss alýn atýn
1:28:9 | huso608(0): gecen 65 kisi yi gorduk
1:28:22 | DarkFlow(15): 65 oldumu
1:28:30 | cucehamster11(7): rekoru geçmiþ
1:28:31 | cucehamster11(7): :D
1:28:35 | huso608(0): aynen matite burdaydý vip dagýttý
1:28:42 | Madness(6): bi ben alamadým o vipi
1:28:43 | DarkFlow(15): ben yoktum
1:28:51 | cucehamster11(7): ben sabahdan akþamüstüne kadar durdum
1:28:52 | Madness(6): bi baktm tüm sw vip
1:28:57 | cucehamster11(7): çýkdýðýmda výplýk verilmiþ hocam
1:28:58 | DarkFlow(15): :D
1:29:8 | huso608(0): sans
1:29:12 | cucehamster11(7): valla
1:29:32 | Madness(6): benim bu son olsunb
1:29:35 | huso608(0): bana verildi ben bile zor yapýyorum
1:29:36 | Madness(6): 1-2 saat ders calýsýp tekrar gelýrm
1:29:54 | Madness(6): viplikte 2 katý bonus mu veriyo týr
1:29:59 | DarkFlow(15): evet
1:30:8 | cucehamster11(7): 3 deðilmiy  di
1:30:9 | DarkFlow(15): týrda iyi kasarsýn
1:30:16 | Madness(6): off bide 3 katý
1:30:20 | [CMD] cucehamster11(7) => /work
1:30:27 | [CMD] cucehamster11(7) => /tamir
1:30:31 | huso608(0): 3 katý skorlu islerde veriyor
1:30:38 | huso608(0): balýkcý odunculuk gibi
1:30:43 | DarkFlow(15): evet
1:30:44 | sezzer(9): geldim knk
1:30:49 | cucehamster11(7): h.g
1:30:50 | Madness(6): exp standart 5 mi
1:30:54 | huso608(0): aynen
1:30:54 | sezzer(9): napýyon :D
1:30:55 | DarkFlow(15): evet
1:30:56 | [CMD] sezzer(9) => /work
1:31:0 | cucehamster11(7): nabam be
1:31:2 | cucehamster11(7): cs den geldim
1:31:7 | [CMD] sezzer(9) => /asiriyuk
1:31:8 | [CMD] sezzer(9) => /asiriyuk
1:31:8 | cucehamster11(7): sen napýyon :D
1:31:17 | sezzer(9): boþ boþ takýlmakdan sýkýldým görev yapýyom
1:31:36 | cucehamster11(7): iyi yapmýþýn
1:31:57 | [CMD] DarkFlow(15) => /sirket
1:32:59 | sezzer(9): gözyaþým gözümden damladý diye þarký sözü mü olur lan
1:33:4 | sezzer(9): nerden damlýcaktý
1:33:8 | sezzer(9): g.tünden mi damlýcaktý
1:33:13 | cucehamster11(7): ahaha .ASD:A
1:33:16 | Madness(6): fantazi
1:33:20 | [CMD] huso608(0) => /uyar 9 Uslup
1:33:28 | cucehamster11(7): terbiyesiz adam
1:33:33 | Madness(6): sapýk
1:33:42 | sezzer(9): tek tek gelin lan
1:33:42 | cucehamster11(7): knk sen türkçe þarký seviyorsun demi
1:33:47 | sezzer(9): evt
1:33:57 | cucehamster11(7): playlisti aç Ölmezdim yaz
1:34:2 | cucehamster11(7): seversin herhalde :D
1:34:6 | sezzer(9): yazayým
1:34:21 | sezzer(9): açtým knk
1:34:28 | cucehamster11(7): kafamý dinlendirmek için açýyorum bazen iyi gidiyo ya
1:35:11 | [CMD] Madness(6) => /tamir
1:35:25 | DarkFlow(15): :D
1:35:26 | Madness(6): :DD
1:35:43 | [CMD] DarkFlow(15) => /pm 0 görüyon demi :D
1:35:48 | sezzer(9): adamýn sesi çok boðuk geliyo la
1:35:51 | [CMD] huso608(0) => /pm 15 aynen
1:35:52 | [CMD] sezzer(9) => /modifiye
1:36:3 | huso608(0): derinden soyluyordur
1:36:5 | [CMD] DarkFlow(15) => /pm 0 ben olsam geçirmistim :d
1:36:6 | cucehamster11(7): beðensen þaþardým zaten
1:36:11 | sezzer(9): þarký güzel
1:36:33 | sezzer(9): ama ne diyo diye anlamak için çaba sarf ediyosun
1:36:34 | sezzer(9): :D
1:36:36 | cucehamster11(7): ben türkçe dinlemiyorum knk
1:36:45 | sezzer(9): biliyom knk
1:36:48 | cucehamster11(7): arada sýkýlýnca sakin böyle müzikleri seviyom
1:37:1 | Madness(6): en iyisi yabancý
1:37:8 | huso608(0): slow romantik diyorsun
1:37:21 | cucehamster11(7): romantiklikle iþim yok yaw
1:37:29 | huso608(0): bana sart
1:37:32 | cucehamster11(7): þanýþeri biliyonuz mu
1:37:37 | sezzer(9): bilmezmiyi
1:37:45 | cucehamster11(7): o adamýn sesine bitiyorum bak mesela
1:37:49 | sezzer(9): harbi la
1:37:52 | sezzer(9): sesi çok güzel
1:37:57 | Madness(6): benden bu kadarr
1:37:57 | cucehamster11(7): ayn öyle
1:38:0 | [CMD] Madness(6) => /convoyayril
1:38:1 | huso608(0): ceksene koca týrý
1:38:2 | sezzer(9): sehabe nin sesi de güzel
1:38:8 | Madness(6): lan
1:38:12 | Madness(6): parayý alamadan mý cýktým ben
1:38:15 | Madness(6): kafama tüküreyim
1:38:19 | [CMD] DarkFlow(15) => /c dvmmi
1:38:24 | [CMD] huso608(0) => /c sence
1:38:26 | cucehamster11(7): kafana nasýl tükürücen
1:38:29 | cucehamster11(7): anlatsana biraz
1:38:31 | [CMD] cucehamster11(7) => /work
1:38:33 | [CMD] DarkFlow(15) => /c 1 tur daha yapalým
1:38:37 | Madness(6): tükürcem bir kasenin içinre
1:38:37 | [CMD] huso608(0) => /work
1:38:40 | Madness(6): onu kafamdan aþþa dökcem
1:38:42 | Madness(6): ;)
1:38:45 | cucehamster11(7): haað
1:38:48 | cucehamster11(7): anladým hocam
1:38:55 | sezzer(9): þiirbaz ý biliyo musun knk
1:38:56 | huso608(0): sistem farký
1:38:59 | [CMD] sezzer(9) => /tamir
1:39:0 | [CMD] huso608(0) => /asiriyuk
1:39:1 | Madness(6): huso param ýveðr
1:39:1 | [CMD] DarkFlow(15) => /asiriyuk
1:39:9 | cucehamster11(7): bilmiyorum knk
1:39:18 | sezzer(9): onunda sesi güzel
1:39:19 | [CMD] DarkFlow(15) => /sirket
1:39:25 | [CMD] Madness(6) => /sirket
1:39:26 | cucehamster11(7): dedim ya türkçe dinlemem pek diye
1:39:38 | cucehamster11(7): Barýþ özcandan görmüþdüm önceki videosunda
1:39:41 | sezzer(9): torkço donlomom
1:39:43 | cucehamster11(7): bi de rap yapmýþlar yeni 
1:39:44 | sezzer(9): oððð
1:39:52 | cucehamster11(7): türkçe nedir moruq
1:39:54 | (BANKA) Madness(6) 2171 nolu banka hesabina 400000$ yatirdi.
1:39:57 | cucehamster11(7): rock dinliyiceksin babalýk
1:40:11 | sezzer(9): doðarken metal mi dinliyodun puþt
1:40:15 | cucehamster11(7): bb
1:40:23 | Madness(6): sen doðarken ne dinliyodun sezer
1:40:25 | cucehamster11(7): 3 evetle
1:40:28 | [CMD] huso608(0) => /uyar 9 Uslup
1:40:28 | sezzer(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:40:29 | cucehamster11(7): :ASDA:D
1:40:30 | [CMD] DarkFlow(15) => /tamie
1:40:34 | [CMD] DarkFlow(15) => /tamir
1:40:37 | cucehamster11(7): huso affetmez
1:40:42 | DarkFlow(15): :D
1:41:2 | sezzer(8) oyuna girdi [IP: 88.235.227.130]
1:41:2 | DarkFlow(15): yuk býrakýyodu
1:41:11 | 
1:41:14 | {FFCC00}sezzer(8) {FFFFFF}Kamyoncu olarak spawn oldu.
1:41:14 | Madness(6): abi gitti para ya
1:41:20 | Madness(6): onu býrak 16km ye yazýk oldu
1:41:27 | sezzer(8): husonun gereksiz uyarýlarý vol bilmemkaç
1:41:27 | cucehamster11(7): anlaki :D
1:41:36 | Madness(6): unlucky o cahil
1:41:47 | cucehamster11(7): kes ulen cingene
1:41:49 | [CMD] DarkFlow(15) => /c :D
1:41:52 | sezzer(8): sus lan
1:41:56 | Madness(6): ne cingenesi has bursalýyým ben
1:42:2 | cucehamster11(7): oo bursa
1:42:3 | sezzer(8): sana mý diyo
1:42:4 | cucehamster11(7): en sevdigim
1:42:15 | cucehamster11(7): sezer heryere atlama
1:42:16 | Madness(6): bana
1:42:19 | cucehamster11(7): gereksiz insan seni
1:42:21 | huso608(0): elmasý ile kýzlarý güzel oranýn
1:42:25 | sezzer(8): geliyom þimdi sana atlýcam
1:42:27 | Madness(6): ne elmasý hüso ne cahilsin
1:42:29 | [CMD] sezzer(8) => /araba
1:42:30 | Madness(6): þeftali ve kestane 
1:42:36 | cucehamster11(7): karýþma çok iyi anlarým
1:42:39 | cucehamster11(7): :ASD:ADas
1:42:40 | huso608(0): elma da meshur nasýl yasýyon
1:42:44 | Madness(6): ne elmasý lan
1:42:48 | Madness(6): kafasý güzel glb
