0:0:4 | [CMD] GeneralRookie(8) => /work
1:0:29 | [CMD] huso608(7) => /asay2 . 
1:0:32 | DarkFlow(11): huso
1:0:35 | huso608(7): buyur
1:0:36 | DarkFlow(11): konvoydan çýkma
1:0:50 | huso608(7): pc yi kapýcaktým
1:0:55 | DarkFlow(11): :d
1:1:3 | DarkFlow(11): neyse
1:1:23 | DarkFlow(11): afk kalcam sandým
1:1:26 | DarkFlow(11): kalcan
1:1:26 | [CMD] huso608(7) => /respawn 726
1:1:54 | huso608(7): yok pc bazen donuyor olmazsa bi forumu gezeyim belki varýrsýn sen
1:1:59 | [CMD] huso608(7) => /musait
1:2:1 | DarkFlow(11): tmm
1:3:55 | [CMD] huso608(7) => /scar
1:4:3 | [CMD] huso608(7) => /dcar
1:5:36 | [CMD] huso608(7) => /odull
1:5:44 | [CMD] huso608(7) => /skorver
1:5:56 | [CMD] huso608(7) => /setscore
1:6:25 | [CMD] huso608(7) => /evict
1:6:38 | [CMD] huso608(7) => /transfer
1:6:46 | [CMD] huso608(7) => /apara
1:6:56 | [CMD] huso608(7) => /silahizni
1:7:3 | [CMD] huso608(7) => /sban
1:7:33 | [CMD] huso608(7) => /ssgor
1:7:41 | [CMD] huso608(7) => /asay2 . 
1:7:42 | [CMD] huso608(7) => /asay2 . 
1:7:43 | [CMD] huso608(7) => /asay2 . 
1:7:44 | [CMD] huso608(7) => /asay2 . 
1:7:44 | [CMD] huso608(7) => /asay2 . 
1:7:45 | [CMD] huso608(7) => /asay2 . 
1:7:47 | [CMD] huso608(7) => /asay2 . 
1:8:1 | [CMD] huso608(7) => /cleanupcars
1:8:6 | huso608(7): dcar
1:8:9 | [CMD] huso608(7) => /cc
1:8:17 | [CMD] huso608(7) => /dcar
1:8:26 | [CMD] DarkFlow(11) => /c huso tepelensene bi yanýma
1:8:35 | [CMD] huso608(7) => /goto 11
1:8:42 | [CMD] DarkFlow(11) => /c týra bin
1:8:55 | [CMD] DarkFlow(11) => /c týr al
1:8:58 | [CMD] DarkFlow(11) => /c :D
1:9:21 | [CMD] huso608(7) => /car roadtrain 3 3
1:9:27 | [CMD] huso608(7) => /trailer
1:9:42 | [CMD] DarkFlow(11) => /convoykontrol
1:9:50 | [CMD] DarkFlow(11) => /convoykontrol
1:9:58 | [CMD] huso608(7) => /c yanlýs yol aldýn
1:10:2 | [CMD] DarkFlow(11) => /c hmm flatbedde oluyo 
1:10:22 | [CMD] DarkFlow(11) => /c yuk alman lazým
1:10:42 | [CMD] DarkFlow(11) => /c görünümüyomu sende biþey
1:10:56 | [CMD] huso608(7) => /c yazýyor harbour
1:11:32 | [CMD] DarkFlow(11) => /c yuk al gel ozaman :D
1:11:38 | [CMD] huso608(7) => /c :D
1:11:48 | [CMD] DarkFlow(11) => /c bekliyom ben
1:11:56 | [CMD] huso608(7) => /portvehicle 188
1:12:3 | [CMD] huso608(7) => /karakol
1:12:31 | huso608(7) oyundan cIktI (Hata/Crash) (IP: 88.230.233.208)
1:12:55 | [CMD] DarkFlow(11) => /convoyiptal
1:13:1 | [CMD] DarkFlow(11) => /sirket
1:13:15 | [CMD] DarkFlow(11) => /karakol
1:13:18 | [CMD] DarkFlow(11) => /cezaode
1:13:21 | [CMD] DarkFlow(11) => /gobus
1:13:27 | [CMD] DarkFlow(11) => /adminol
1:13:29 | DarkFlow(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:47:24 | sezzer(6) oyuna girdi [IP: 88.241.15.219]
1:47:24 | sezzer(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
2:23:11 | _DarkAngel_(6) oyuna girdi [IP: 88.228.125.215]
2:23:21 | 
2:23:27 | {FFCC00}_DarkAngel_(6) {FFFFFF}Pilot olarak spawn oldu.
2:23:38 | [CMD] _DarkAngel_(6) => /gobus
2:23:52 | [CMD] _DarkAngel_(6) => /icerigir
2:24:0 | [CMD] _DarkAngel_(6) => /isyerimenu
2:24:9 | [CMD] _DarkAngel_(6) => /isyerimenu
2:24:20 | _DarkAngel_(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
5:24:58 | yardimci(6) oyuna girdi [IP: 176.33.235.12]
5:26:16 | yardimci(6) 60 saniye içinde giriþ yapmadýðý için tekmelendi
5:26:16 | yardimci(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
5:31:26 | yardimci(6) oyuna girdi [IP: 176.33.235.12]
5:31:35 | 
5:31:38 | {FFCC00}yardimci(6) {FFFFFF}Kamyoncu olarak spawn oldu.
5:31:41 | [CMD] yardimci(6) => /rescue
5:32:23 | [CMD] yardimci(6) => /otorenkoff
5:32:26 | [CMD] yardimci(6) => /otorenkoff
5:32:28 | [CMD] yardimci(6) => /otorenkoff
5:32:35 | [CMD] yardimci(6) => /otorenkoff
5:32:43 | [CMD] yardimci(6) => /otorenkoff
5:32:49 | [CMD] yardimci(6) => /yenilikler
5:33:23 | [CMD] yardimci(6) => /otorenkof
5:33:27 | [CMD] yardimci(6) => /otorenkoff
5:33:33 | [CMD] yardimci(6) => /yenilikler
5:33:53 | [CMD] yardimci(6) => /otorenkoff
5:34:24 | yardimci(6): a
5:35:59 | [CMD] yardimci(6) => /work
5:37:46 | [CMD] yardimci(6) => /m7
5:38:1 | [CMD] yardimci(6) => /m8
5:38:47 | [CMD] yardimci(6) => /asiriyuk
5:49:13 | [CMD] yardimci(6) => /cevir
5:51:2 | [CMD] yardimci(6) => /cevirq
5:51:4 | yardimci(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
6:22:53 | BeylerBeyi(6) oyuna girdi [IP: 78.176.44.225]
6:23:2 | 
6:23:20 | {FFCC00}BeylerBeyi(6) {FFFFFF}Kamyoncu olarak spawn oldu.
6:23:24 | [CMD] BeylerBeyi(6) => /myskin 294
6:23:26 | [CMD] BeylerBeyi(6) => /myskin 294
6:23:27 | BeylerBeyi(6): s
6:23:40 | [CMD] BeylerBeyi(6) => /meslek
6:23:44 | BeylerBeyi(6) Pizzaci olarak spawn oldu.
6:23:46 | [CMD] BeylerBeyi(6) => /rescue
6:23:53 | [CMD] BeylerBeyi(6) => /work
6:24:0 | [CMD] BeylerBeyi(6) => /otorenkoff
6:24:5 | [CMD] BeylerBeyi(6) => /yenilikler
6:25:2 | [CMD] BeylerBeyi(6) => /sirket
6:25:40 | [CMD] BeylerBeyi(6) => /work
6:26:11 | [CMD] BeylerBeyi(6) => /work
6:26:39 | [CMD] BeylerBeyi(6) => /work
6:26:55 | [CMD] BeylerBeyi(6) => /work
6:27:41 | [CMD] BeylerBeyi(6) => /work
6:28:4 | [CMD] BeylerBeyi(6) => /work
6:28:42 | [CMD] BeylerBeyi(6) => /work
6:31:9 | [CMD] BeylerBeyi(6) => /work
6:31:32 | [CMD] BeylerBeyi(6) => /work
6:34:49 | [CMD] BeylerBeyi(6) => /work
6:35:27 | [CMD] BeylerBeyi(6) => /work
6:35:43 | [CMD] BeylerBeyi(6) => /work
6:36:11 | [CMD] BeylerBeyi(6) => /work
6:36:27 | [CMD] BeylerBeyi(6) => /work
6:37:4 | [CMD] BeylerBeyi(6) => /work
6:37:31 | [CMD] BeylerBeyi(6) => /work
6:37:37 | [CMD] BeylerBeyi(6) => /gohome
6:37:39 | [CMD] BeylerBeyi(6) => /gohome
6:38:9 | [CMD] BeylerBeyi(6) => /gohome
6:38:11 | [CMD] BeylerBeyi(6) => /gohome
6:38:13 | [CMD] BeylerBeyi(6) => /gohome
6:38:18 | [CMD] BeylerBeyi(6) => /gohome
6:38:21 | [CMD] BeylerBeyi(6) => /work
6:38:37 | [CMD] BeylerBeyi(6) => /work
6:39:1 | [CMD] BeylerBeyi(6) => /work
6:39:45 | [CMD] BeylerBeyi(6) => /work
6:40:8 | [CMD] BeylerBeyi(6) => /work
6:40:24 | [CMD] BeylerBeyi(6) => /work
6:40:34 | [CMD] BeylerBeyi(6) => /sac
6:40:40 | [CMD] BeylerBeyi(6) => /skapat
6:41:15 | [CMD] BeylerBeyi(6) => /work
6:41:36 | [CMD] BeylerBeyi(6) => /work
6:41:59 | [CMD] BeylerBeyi(6) => /work
6:42:15 | [CMD] BeylerBeyi(6) => /work
6:42:42 | [CMD] BeylerBeyi(6) => /work
6:43:13 | [CMD] BeylerBeyi(6) => /work
6:43:53 | [CMD] BeylerBeyi(6) => /meslek
6:43:56 | BeylerBeyi(6) Mafya olarak spawn oldu.
6:43:59 | [CMD] BeylerBeyi(6) => /rescue
6:44:4 | [CMD] BeylerBeyi(6) => /araba
6:44:41 | [CMD] BeylerBeyi(6) => /vtamir
6:44:46 | [CMD] BeylerBeyi(6) => /kemer
6:45:54 | [CMD] BeylerBeyi(6) => /rescue
6:46:3 | [CMD] BeylerBeyi(6) => /work
6:46:8 | [CMD] BeylerBeyi(6) => /work
6:46:14 | [CMD] BeylerBeyi(6) => /work
6:46:18 | [CMD] BeylerBeyi(6) => /work
6:46:27 | [CMD] BeylerBeyi(6) => /work
6:46:32 | [CMD] BeylerBeyi(6) => /work
6:46:37 | [CMD] BeylerBeyi(6) => /work
6:46:42 | [CMD] BeylerBeyi(6) => /work
6:46:46 | [CMD] BeylerBeyi(6) => /work
6:48:21 | [CMD] BeylerBeyi(6) => /araba
6:48:26 | [ARAC] BeylerBeyi(6), 323 ID'li Luggage model araci 900000$'a satin aldi.
6:49:2 | [CMD] BeylerBeyi(6) => /kemer
6:49:42 | [CMD] BeylerBeyi(6) => /m2
6:49:44 | [CMD] BeylerBeyi(6) => /m2
6:49:46 | [CMD] BeylerBeyi(6) => /m1
6:49:47 | [CMD] BeylerBeyi(6) => /m3
6:49:54 | [CMD] BeylerBeyi(6) => /m
6:49:55 | [CMD] BeylerBeyi(6) => /m2
6:50:0 | [CMD] BeylerBeyi(6) => /kemer
6:51:4 | [CMD] BeylerBeyi(6) => /work
6:51:10 | [CMD] BeylerBeyi(6) => /work
6:51:14 | [CMD] BeylerBeyi(6) => /work
6:51:18 | [CMD] BeylerBeyi(6) => /work
6:52:30 | [CMD] BeylerBeyi(6) => /rescue
6:53:39 | [CMD] BeylerBeyi(6) => /balon
6:53:46 | [CMD] BeylerBeyi(6) => /m1
6:53:47 | [CMD] BeylerBeyi(6) => /m2
6:53:48 | [CMD] BeylerBeyi(6) => /m3
6:53:49 | [CMD] BeylerBeyi(6) => /m4
6:53:53 | [CMD] BeylerBeyi(6) => /m8
6:53:57 | [CMD] BeylerBeyi(6) => /otorenkon
6:54:3 | [CMD] BeylerBeyi(6) => /vtamir
6:54:33 | BeylerBeyi(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
6:55:56 | Asi_Kaptan(6) oyuna girdi [IP: 78.184.173.125]
6:56:4 | 
6:56:9 | {FFCC00}Asi_Kaptan(6) {FFFFFF}Polis olarak spawn oldu.
6:56:10 | Asi_Kaptan(6): :D
6:57:0 | [CMD] Asi_Kaptan(6) => /vtamir
6:59:0 | [CMD] Asi_Kaptan(6) => /park
6:59:5 | [CMD] Asi_Kaptan(6) => /araba
7:0:33 | [CMD] Asi_Kaptan(6) => /mytime 1
7:0:49 | [CMD] Asi_Kaptan(6) => /mytime 1
7:0:51 | [CMD] Asi_Kaptan(6) => /araba
7:0:54 | [CMD] Asi_Kaptan(6) => /araba
7:2:59 | Asi_Kaptan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
7:3:37 | Asi_Kaptan(6) oyuna girdi [IP: 78.184.173.125]
7:3:45 | 
7:3:47 | {FFCC00}Asi_Kaptan(6) {FFFFFF}Polis olarak spawn oldu.
7:3:50 | [CMD] Asi_Kaptan(6) => /rescue
7:4:11 | Asi_Kaptan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
7:4:49 | Asi_Kaptan(6) oyuna girdi [IP: 78.184.173.125]
7:4:57 | 
7:5:1 | {FFCC00}Asi_Kaptan(6) {FFFFFF}Polis olarak spawn oldu.
7:5:41 | [CMD] Asi_Kaptan(6) => /gobus
7:5:58 | [CMD] Asi_Kaptan(6) => /banka
7:6:16 | (BANKA) Asi_Kaptan(6) 2194 nolu banka hesabina 10000000$ yatirdi.
7:6:50 | [CMD] Asi_Kaptan(6) => /araba
7:8:38 | [CMD] Asi_Kaptan(6) => /mytime 1
7:8:39 | [CMD] Asi_Kaptan(6) => /neon
7:8:41 | [CMD] Asi_Kaptan(6) => /vneon
7:10:45 | Asi_Kaptan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
7:11:7 | Asi_Kaptan(6) oyuna girdi [IP: 78.184.173.125]
7:12:26 | Asi_Kaptan(6) 60 saniye içinde giriþ yapmadýðý için tekmelendi
7:12:26 | Asi_Kaptan(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
7:13:30 | Asi_Kaptan(6) oyuna girdi [IP: 78.184.173.125]
7:13:38 | 
7:13:48 | {FFCC00}Asi_Kaptan(6) {FFFFFF}Pilot olarak spawn oldu.
7:14:35 | [CMD] Asi_Kaptan(6) => /araba
7:15:26 | {FFCC00}Asi_Kaptan(6) {FFFFFF}Pilot olarak spawn oldu.
7:15:28 | [CMD] Asi_Kaptan(6) => /araba
7:16:1 | Asi_Kaptan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
7:36:21 | [eN]Overlord(0) oyuna girdi [IP: 78.180.159.77]
7:36:21 | [eN]Overlord(0) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
8:8:53 | selimdemote(0) oyuna girdi [IP: 88.232.173.101]
8:9:9 | 
8:9:24 | selimdemote(0) Mafya olarak spawn oldu.
8:9:40 | [CMD] selimdemote(0) => /araba
8:9:48 | bilal7345(6) oyuna girdi [IP: 212.252.143.203]
8:10:0 | 
8:10:3 | {FFCC00}bilal7345(6) {FFFFFF}Polis olarak spawn oldu.
8:10:15 | bilal7345(6): naber
8:10:17 | selimdemote(0): bilal
8:10:19 | bilal7345(6): he
8:10:21 | selimdemote(0): nassýn
8:10:27 | bilal7345(6): ii senden
8:10:32 | [CMD] bilal7345(6) => /rescue
8:10:38 | selimdemote(0): hep sen çýkýyon karþýma yav
8:10:55 | bilal7345(6): haha
8:11:6 | selimdemote(0): viplik gitti ya
8:11:13 | bilal7345(6): ana gitmis ayn
8:11:16 | selimdemote(0): kötü oldu
8:11:31 | bilal7345(6): keskehep vipolsak XD
8:11:47 | selimdemote(0): rüyamýzda
8:11:55 | bilal7345(6): AYNEN
8:12:11 | selimdemote(0): istediðini yap admin yok amk
8:12:20 | bilal7345(6): aynnen amk
8:12:21 | Arda[TR](7) oyuna girdi [IP: 78.184.186.4]
8:12:32 | 
8:12:39 | {FFCC00}Arda[TR](7) {FFFFFF}Kamyoncu olarak spawn oldu.
8:12:46 | [CMD] Arda[TR](7) => /sa
8:12:49 | [CMD] bilal7345(6) => /as
8:12:56 | selimdemote(0): bilal senle kaçmalý kovlamalý oyun oynýyakmý
8:12:58 | [CMD] selimdemote(0) => /as
8:13:4 | bilal7345(6): ne
8:13:11 | [CMD] selimdemote(0) => /rescue
8:13:26 | [CMD] Arda[TR](7) => /sirketdorse
8:13:34 | [CMD] selimdemote(0) => /modifiye
8:13:43 | [CMD] Arda[TR](7) => /work
8:14:6 | Arda[TR](7): vip bittimi
8:14:9 | bilal7345(6): evet
8:15:19 | Arda[TR](7): týrlar çok yavaþ
8:15:22 | [CMD] bilal7345(6) => /tamir
8:15:25 | [CMD] bilal7345(6) => /cevir
8:15:28 | [CMD] bilal7345(6) => /tamir
8:15:32 | [CMD] bilal7345(6) => /kemer
8:16:48 | bilal7345(6): gel buraya d
8:16:58 | bilal7345(6): illa urastýrcan
8:16:59 | selimdemote(0): no no
8:17:16 | bilal7345(6): gel
8:17:38 | bilal7345(6): amk
8:17:50 | selimdemote(0): amk gelmiyom
8:17:58 | Arda[TR](7): küfür etmeyin
8:18:11 | bilal7345(6): gel iste uff
8:18:37 | [CMD] Arda[TR](7) => /fps
8:19:18 | [CMD] bilal7345(6) => /tamir
8:19:22 | [CMD] bilal7345(6) => /kemer
8:19:40 | [CMD] Arda[TR](7) => /fps
8:19:43 | bilal7345(6): sen bekle
8:20:13 | [CMD] bilal7345(6) => /candoldur
8:20:28 | bilal7345(6): ya gel iste
8:21:12 | bilal7345(6): lan gel
8:21:30 | bilal7345(6): moruq
8:21:40 | selimdemote(0): hadi gelem
8:21:43 | TheS1LKENAdam(8) oyuna girdi [IP: 188.3.54.200]
8:21:48 | bilal7345(6): ya gel ya
8:21:59 | 
8:22:5 | {FFCC00}TheS1LKENAdam(8) {FFFFFF}Pilot olarak spawn oldu.
8:22:5 | [CMD] Arda[TR](7) => /as
8:22:6 | selimdemote(0): silken hg
8:22:8 | [CMD] TheS1LKENAdam(8) => /admgiris
8:22:9 | ASLANBEY(9) oyuna girdi [IP: 176.232.229.117]
8:22:11 | [CMD] TheS1LKENAdam(8) => /sa
8:22:13 | [CMD] Arda[TR](7) => /as
8:22:13 | TheS1LKENAdam(8): h.b
8:22:13 | [CMD] selimdemote(0) => /as
8:22:13 | [CMD] bilal7345(6) => /hg
8:22:19 | TheS1LKENAdam(8): Hoþbuldum
8:22:23 | TheS1LKENAdam(8): Ýyi oyunlar
8:22:24 | 
8:22:26 | selimdemote(0): saol
8:22:27 | {FFCC00}ASLANBEY(9) {FFFFFF}Kamyoncu olarak spawn oldu.
8:22:31 | [CMD] ASLANBEY(9) => /sa
8:22:32 | [CMD] TheS1LKENAdam(8) => /sac
8:22:33 | [CMD] Arda[TR](7) => /as
8:22:34 | [CMD] TheS1LKENAdam(8) => /as
8:22:39 | [CMD] Arda[TR](7) => /asiriyuk
8:22:40 | selimdemote(0): teker teker gelin gençler
8:22:48 | [CMD] selimdemote(0) => /as
8:22:52 | TheS1LKENAdam(8): Ben bi kahve koycam 2 dakika afk yým 
8:22:53 | [CMD] TheS1LKENAdam(8) => /afk
8:23:5 | [CMD] Arda[TR](7) => /afk
8:23:32 | selimdemote(0): topluca gezekmi akedeþle
8:23:41 | [CMD] Arda[TR](7) => /pm 6 bilal
8:23:43 | [CMD] ASLANBEY(9) => /meslek
8:23:46 | ASLANBEY(9) Pizzaci olarak spawn oldu.
8:23:49 | [CMD] Arda[TR](7) => /pm 6 bu selim mafya mý
8:23:51 | [CMD] selimdemote(0) => /meslek
8:23:52 | [CMD] TheS1LKENAdam(8) => /geldim
8:23:53 | {FFCC00}selimdemote(0) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
8:23:55 | [CMD] TheS1LKENAdam(8) => /meslek
8:23:59 | TheS1LKENAdam(8) Pizzaci olarak spawn oldu.
8:24:8 | [CMD] TheS1LKENAdam(8) => /meslek
8:24:13 | [CMD] TheS1LKENAdam(8) => /rescue
8:24:15 | [CMD] ASLANBEY(9) => /work
8:24:15 | [CMD] TheS1LKENAdam(8) => /rescue 
8:24:18 | selimdemote(0): silken benim skini 299 yaparmýsýn
8:24:24 | {FFCC00}selimdemote(0) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
8:24:29 | TheS1LKENAdam(8): Skin verme yetkim yok.
8:24:47 | Arda[TR](7): silken
8:24:50 | TheS1LKENAdam(8): Evet 
8:24:55 | Arda[TR](7): gm olmak güzelmi
8:25:15 | TheS1LKENAdam(8): Güzel ama görev flan çok yapamazsýnýz 
8:25:22 | TheS1LKENAdam(8): Serverle ilgilenmeniz lazým
8:25:25 | Arda[TR](7): hmm tama
8:25:27 | Arda[TR](7): hmm tamam
8:25:38 | TheS1LKENAdam(8): Bi  yere geldikten sonra baþvurdum ben
8:25:39 | selimdemote(0): beni anlatýyor bu silken arkadaþýmýz
8:26:1 | [CMD] ASLANBEY(9) => /work
8:26:2 | TheS1LKENAdam(8): aslýnda terfi oldum
8:26:19 | [CMD] TheS1LKENAdam(8) => /work
8:26:31 | Arda[TR](7): yanlýz silken
8:26:37 | TheS1LKENAdam(8): Evet
8:26:43 | selimdemote(0): bütün djler sonradan admin oluyo yav
8:26:43 | [CMD] ASLANBEY(9) => /work
8:26:45 | Arda[TR](7): bu týr çok yavaþþþ
8:26:47 | selimdemote(0): bütün djler sonradan admin oluyo yav
8:26:52 | Arda[TR](7): 100e çýkmýyor
8:27:2 | selimdemote(0): basarsan çýkar
8:27:9 | selimdemote(0): ben 120 bastým
8:27:10 | TheS1LKENAdam(8): Selim Dj ler Eðer adminliðe uygun görülürse terfi alýr
8:27:18 | bilal7345(6): ben gorevimi yaptým ben gidiyorum
8:27:20 | bilal7345(6): ben gorevimi yaptým ben gidiyorum
8:27:20 | TheS1LKENAdam(8): eðer uygun görülmezse dj olarak kalýr
8:27:22 | TheS1LKENAdam(8): Bb
8:27:22 | selimdemote(0): yasin djydi noldu
8:27:24 | bilal7345(6): bb
8:27:27 | [CMD] ASLANBEY(9) => /work
8:27:27 | selimdemote(0): bb
8:27:31 | TheS1LKENAdam(8): Yasin a3 
8:27:33 | bilal7345(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:27:35 | TheS1LKENAdam(8): oldu 
8:27:38 | [CMD] TheS1LKENAdam(8) => /work
8:27:47 | selimdemote(0): baþka ahmut eskiden
8:27:50 | selimdemote(0): djydi
8:27:58 | TheS1LKENAdam(8): Adminde oldu bi dönem ama
8:28:0 | [CMD] ASLANBEY(9) => /work
8:28:9 | TheS1LKENAdam(8): Atýldý galiba pek bi fikrim yok
8:28:24 | selimdemote(0): silken bana djlik vermiyolar ya
8:28:40 | Arda[TR](7): az once kufur etti gordum
8:28:46 | TheS1LKENAdam(8): Selim Baþvurulara katýl yinede belki uygun görülürsen alýnýrsýn
8:28:46 | [CMD] ASLANBEY(9) => /work
8:28:49 | [CMD] TheS1LKENAdam(8) => /work
8:29:16 | [CMD] TheS1LKENAdam(8) => /work
8:29:27 | [LOCAL]selimdemote(0): beni lv galeriye býrakabilirmisin
8:29:27 | [CMD] selimdemote(0) => /l beni lv galeriye býrakabilirmisin
8:29:28 | [CMD] TheS1LKENAdam(8) => /work
8:29:39 | [CMD] ASLANBEY(9) => /work
8:29:46 | [LOCAL]Arda[TR](7): ben oraya gitmiyorum
8:29:46 | [CMD] Arda[TR](7) => /l ben oraya gitmiyorum
8:29:51 | [LOCAL]selimdemote(0): nere
8:29:51 | [CMD] selimdemote(0) => /l nere
8:29:53 | [CMD] TheS1LKENAdam(8) => /work
8:29:57 | [CMD] TheS1LKENAdam(8) => /work
8:29:58 | [LOCAL]Arda[TR](7): harbour
8:29:58 | [CMD] Arda[TR](7) => /l harbour
8:30:8 | [LOCAL]selimdemote(0): ordan geçecen zaten
8:30:8 | [CMD] selimdemote(0) => /l ordan geçecen zaten
8:30:17 | [LOCAL]Arda[TR](7): sen dur dersi
8:30:17 | [CMD] Arda[TR](7) => /l sen dur dersi
8:30:17 | [CMD] ASLANBEY(9) => /work
8:30:17 | [CMD] TheS1LKENAdam(8) => /work
8:30:17 | [LOCAL]Arda[TR](7): sen dur dersin
8:30:17 | [CMD] Arda[TR](7) => /l sen dur dersin
8:30:27 | [LOCAL]selimdemote(0): tm
8:30:27 | [CMD] selimdemote(0) => /l tm
8:30:39 | [CMD] TheS1LKENAdam(8) => /work
8:30:45 | [CMD] ASLANBEY(9) => /work
8:31:8 | [CMD] TheS1LKENAdam(8) => /work
8:31:16 | selimdemote(0): bu arabalar hala bukelamun gibi
8:31:27 | Arda[TR](7): ayn
8:31:28 | [CMD] ASLANBEY(9) => /work
8:31:33 | [CMD] TheS1LKENAdam(8) => /work
8:31:50 | Arda[TR](7): 96 dan sonra çýkmýyor
8:31:58 | [LOCAL]selimdemote(0): arda sen þirkette çok iyimi kasýyon para
8:31:58 | [CMD] selimdemote(0) => /l arda sen þirkette çok iyimi kasýyon para
8:32:0 | [CMD] TheS1LKENAdam(8) => /work
8:32:5 | [LOCAL]Arda[TR](7): ayn
8:32:5 | [CMD] Arda[TR](7) => /l ayn
8:32:16 | [CMD] ASLANBEY(9) => /work
8:32:17 | [LOCAL]Arda[TR](7): usta týrcýyým
8:32:17 | [CMD] Arda[TR](7) => /l usta týrcýyým
8:32:18 | [LOCAL]selimdemote(0): ozaman artye git
8:32:18 | [CMD] selimdemote(0) => /l ozaman artye git
8:32:29 | [CMD] TheS1LKENAdam(8) => /work
8:32:39 | [LOCAL]Arda[TR](7): yok ben burda iyiyim
8:32:39 | [CMD] Arda[TR](7) => /l yok ben burda iyiyim
8:32:49 | [CMD] TheS1LKENAdam(8) => /work
8:32:59 | [CMD] ASLANBEY(9) => /work
8:32:59 | [LOCAL]selimdemote(0): bence ART daha iyi
8:32:59 | [CMD] selimdemote(0) => /l bence ART daha iyi
8:33:12 | [LOCAL]Arda[TR](7): sen niye bzkdesin
8:33:12 | [CMD] Arda[TR](7) => /l sen niye bzkdesin
8:33:15 | [CMD] TheS1LKENAdam(8) => /work
8:33:35 | [LOCAL]selimdemote(0): iyi kasarsan þirket yetkilisi yaparlar seni
8:33:35 | [CMD] selimdemote(0) => /l iyi kasarsan þirket yetkilisi yaparlar seni
8:33:48 | [CMD] TheS1LKENAdam(8) => /work
8:33:49 | [LOCAL]Arda[TR](7): ART demi
8:33:49 | [CMD] Arda[TR](7) => /l  ART demi
8:33:50 | [CMD] ASLANBEY(9) => /work
8:33:51 | [LOCAL]selimdemote(0): ben çalýþmadýðýmdan bzkdeyim
8:33:51 | [CMD] selimdemote(0) => /l ben çalýþmadýðýmdan bzkdeyim
8:34:1 | [LOCAL]selimdemote(0): evet
8:34:1 | [CMD] selimdemote(0) => /l evet
8:34:12 | [LOCAL]Arda[TR](7): bakarým
8:34:12 | [CMD] Arda[TR](7) => /l bakarým
8:34:16 | [CMD] ASLANBEY(9) => /work
8:34:20 | [LOCAL]selimdemote(0): jodoro söylerim ben
8:34:20 | [CMD] selimdemote(0) => /l jodoro söylerim ben
8:34:20 | [CMD] TheS1LKENAdam(8) => /work
8:34:32 | [LOCAL]Arda[TR](7): ok
8:34:32 | [CMD] Arda[TR](7) => /l ok
8:34:35 | [LOCAL]selimdemote(0): jodor oranýn lideri
8:34:35 | [CMD] selimdemote(0) => /l jodor oranýn lideri
8:34:38 | [CMD] ASLANBEY(9) => /work
8:34:42 | [LOCAL]selimdemote(0): jodor oranýn patronu yani
8:34:42 | [CMD] selimdemote(0) => /l jodor oranýn patronu yani
8:34:43 | [LOCAL]Arda[TR](7): galeri ?
8:34:43 | [CMD] Arda[TR](7) => /l galeri ?
8:34:56 | [LOCAL]selimdemote(0): dur diyince dur
8:34:56 | [CMD] selimdemote(0) => /l dur diyince dur
8:34:59 | TheS1LKENAdam(8): Play Of maçlarý hakkýnda bilgisi olan var mý Tff1. ligin
8:34:59 | [CMD] ASLANBEY(9) => /work
8:35:3 | selimdemote(0): dur
8:35:8 | [LOCAL]Arda[TR](7): hadi byby
8:35:8 | [CMD] Arda[TR](7) => /l hadi byby
8:35:9 | selimdemote(0): saol
8:35:21 | [CMD] TheS1LKENAdam(8) => /work
8:35:33 | [CMD] ASLANBEY(9) => /work
8:35:38 | [CMD] TheS1LKENAdam(8) => /work
8:35:54 | [CMD] TheS1LKENAdam(8) => /woprk
8:35:57 | [CMD] TheS1LKENAdam(8) => /work
8:36:4 | [CMD] ASLANBEY(9) => /work
8:36:25 | [CMD] TheS1LKENAdam(8) => /work
8:36:40 | [CMD] ASLANBEY(9) => /work
8:36:54 | [CMD] TheS1LKENAdam(8) => /work
8:37:9 | [CMD] TheS1LKENAdam(8) => /goreviptal
8:37:10 | [CMD] selimdemote(0) => /araba
8:37:11 | [CMD] TheS1LKENAdam(8) => /araba
8:37:15 | Arda[TR](7): yüzde 10 yakýt kaldý aman tanrým dedim
8:37:22 | [CMD] ASLANBEY(9) => /work
8:37:27 | [CMD] TheS1LKENAdam(8) => /benzin
